搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
人文與資訊學系一般組,真理大學人文與資訊學系一般組(079012),7,不要求,49,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079012.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1855
人文與資訊學系行銷實務組,真理大學人文與資訊學系行銷實務組(079022),6,不要求,48,無,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079022.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1855
人文與資訊學系數位應用組,真理大學人文與資訊學系數位應用組(079032),7,不要求,49,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079032.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1855
宗教文化與資訊管理學系、資管,真理大學宗教文化與資訊管理學系(079042),6,不要求,48,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079042.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1866
宗教文化與資訊管理學系生死關懷組、資管,真理大學宗教文化與資訊管理學系生死關懷組(079052),7,不要求,49,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079052.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1866
宗教文化與資訊管理學系數位與文創組、資管,真理大學宗教文化與資訊管理學系數位與文創組(079062),5,不要求,50,無,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079062.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1866
英美語文學系一般組,真理大學英美語文學系一般組(079072),8,不要求,48,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079072.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852
英美語文學系英語暨華語教學組、英文,真理大學英美語文學系英語暨華語教學組(079082),8,不要求,48,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079082.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852
英美語文學系傳播暨文化經貿組,真理大學英美語文學系傳播暨文化經貿組(079092),8,不要求,48,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079092.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852
英美語文學系導覽暨旅遊服務組,真理大學英美語文學系導覽暨旅遊服務組(079102),8,不要求,48,1,無,無,680,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_079102.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852
