搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,國立中正大學中國文學系(041012),18,不要求,54,1,無,無,1000,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041012.htm?v=1.0,https://www.unews.com.tw/School/Department/11/383
外國語文學系、外文,國立中正大學外國語文學系(041022),16,不要求,48,1,無,無,1000,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041022.htm?v=1.0,https://www.unews.com.tw/School/Department/11/384
歷史學系,國立中正大學歷史學系(041032),16,不要求,48,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041032.htm?v=1.0,https://www.unews.com.tw/School/Department/11/385
哲學系,國立中正大學哲學系(041042),23,不要求,69,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041042.htm?v=1.0,https://www.unews.com.tw/School/Department/11/386
數學系,國立中正大學數學系(041052),19,不要求,57,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041052.htm?v=1.0,https://www.unews.com.tw/School/Department/11/403
地球與環境科學系,國立中正大學地球與環境科學系(041062),24,不要求,72,1,無,無,1200,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041062.htm?v=1.0,https://www.unews.com.tw/School/Department/11/401
物理學系,國立中正大學物理學系(041072),30,不要求,90,1,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041072.htm?v=1.0,https://www.unews.com.tw/School/Department/11/402
化學暨生物化學系,國立中正大學化學暨生物化學系(041082),19,不要求,57,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041082.htm?v=1.0,https://www.unews.com.tw/School/Department/11/400
生物醫學科學系、生醫,國立中正大學生物醫學科學系(041092),15,不要求,45,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041092.htm?v=1.0,https://www.unews.com.tw/School/Info/11
社會福利學系,國立中正大學社會福利學系(041102),20,不要求,60,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_041102.htm?v=1.0,https://www.unews.com.tw/School/Department/11/410
