搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
醫學系,長庚大學醫學系(030012),55,不要求,165,無,無,無,1250,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030012.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1489
醫學系,長庚大學醫學系(公費生)(030022),4,不要求,12,無,無,無,1250,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030022.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1489
中醫學系,長庚大學中醫學系(030032),29,不要求,87,無,2,無,1250,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030032.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1490
護理學系,長庚大學護理學系(030042),49,不要求,147,1,1,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030042.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1493
醫學生物技術暨檢驗學系,長庚大學醫學生物技術暨檢驗學系(030052),28,不要求,84,1,無,無,1000,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030052.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1495
醫學影像暨放射科學系、醫影,長庚大學醫學影像暨放射科學系(030062),17,不要求,51,無,無,無,1000,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030062.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1496
物理治療學系,長庚大學物理治療學系(030072),20,不要求,60,1,1,無,1000,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030072.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1491
職能治療學系、職治,長庚大學職能治療學系(030082),19,不要求,57,1,1,無,1000,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030082.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1492
生物醫學系、生醫,長庚大學生物醫學系(030092),53,不要求,159,1,無,無,1000,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030092.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1481
呼吸治療學系,長庚大學呼吸治療學系(030102),21,不要求,63,1,無,無,1000,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030102.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1494
電機工程學系、電機,長庚大學電機工程學系(030112),50,不要求,150,1,無,無,1000,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030112.htm?v=1.0,https://www.unews.com.tw/School/Department/57/3416
機械工程學系、機械,長庚大學機械工程學系(030122),17,不要求,51,1,無,無,1000,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_030122.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1487
