搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
電機工程學系、電機,中華大學電機工程學系(043012),63,不要求,189,6,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043012.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1534
資訊工程學系、資工,中華大學資訊工程學系(資訊工程組)(043022),25,不要求,75,3,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043022.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3561
資訊工程學系、資工,中華大學資訊工程學系(資訊應用組)(043032),25,不要求,75,3,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043032.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3561
資訊工程學系、資工,中華大學資訊工程學系(人工智慧組)(043042),24,不要求,72,2,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043042.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3561
機械工程學系、機械,中華大學機械工程學系(智慧自動化組)(043052),11,不要求,50,1,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043052.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1540
機械工程學系、機械,中華大學機械工程學系(智慧機械組)(043062),11,不要求,50,1,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043062.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1540
機械工程學系、機械,中華大學機械工程學系(航空技術組)(043072),12,不要求,48,1,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043072.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1540
光電與材料工程學系（人工智慧應用組）、材料,中華大學光電與材料工程學系（人工智慧應用組）(043082),15,不要求,45,1,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043082.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1551
光電與材料工程學系（生醫光電組）、材料,中華大學光電與材料工程學系（生醫光電組）(043092),11,不要求,50,1,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043092.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1551
光電與材料工程學系（半導體組）、材料,中華大學光電與材料工程學系（半導體組）(043102),14,不要求,49,1,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043102.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1551
工業管理學系（半導體產業組）,中華大學工業管理學系（半導體產業組）(043112),21,不要求,63,2,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043112.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1527
工業管理學系（智能應用組）,中華大學工業管理學系（智能應用組）(043122),18,不要求,54,1,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043122.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1527
資訊管理學系（資訊系統設計組）、資管,中華大學資訊管理學系（資訊系統設計組）(043132),9,不要求,50,1,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043132.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3474
資訊管理學系（資訊管理應用組）、資管,中華大學資訊管理學系（資訊管理應用組）(043142),12,不要求,48,1,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043142.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3474
