搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
牙醫學系,中國醫藥大學牙醫學系(012012),32,不要求,96,無,1,無,1100,112.05.27至112.05.28,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012012.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2188
醫學系,中國醫藥大學醫學系(012022),87,不要求,261,無,無,無,1100,112.05.19至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012022.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2174
中醫學系甲組,中國醫藥大學中醫學系甲組(012032),41,不要求,123,無,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012032.htm?v=1.0,https://www.unews.com.tw/School/Department/83/3583
中醫學系乙組,中國醫藥大學中醫學系乙組(012042),43,不要求,129,無,2,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012042.htm?v=1.0,https://www.unews.com.tw/School/Department/83/3583
藥學系,中國醫藥大學藥學系(012052),157,不要求,471,14,1,無,1100,112.05.27至112.05.28,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012052.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2179
護理學系,中國醫藥大學護理學系(012062),47,不要求,141,4,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012062.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2185
醫學檢驗生物技術學系,中國醫藥大學醫學檢驗生物技術學系(012072),27,不要求,81,3,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012072.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2186
營養學系,中國醫藥大學營養學系(012082),44,不要求,132,4,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012082.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2184
物理治療學系,中國醫藥大學物理治療學系(012092),28,不要求,84,3,1,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012092.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2182
生物科技學系,中國醫藥大學生物科技學系(012102),36,不要求,108,4,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012102.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2173
運動醫學系,中國醫藥大學運動醫學系(012112),25,不要求,75,3,無,無,1100,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012112.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2183
中國藥學暨中藥資源學系,中國醫藥大學中國藥學暨中藥資源學系(012122),24,不要求,72,2,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012122.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2181
藥用化妝品學系,中國醫藥大學藥用化妝品學系(012132),26,不要求,78,3,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012132.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2180
生物醫學影像暨放射科學學系、生醫,中國醫藥大學生物醫學影像暨放射科學學系(012142),34,不要求,102,3,無,無,1100,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012142.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2187
公共衛生學院大一不分系、公衛,中國醫藥大學公共衛生學院大一不分系(012152),93,不要求,279,10,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012152.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2190
生物醫學工程學系、生醫,中國醫藥大學生物醫學工程學系(012162),28,不要求,84,3,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_012162.htm?v=1.0,https://www.unews.com.tw/School/Department/83/3760
