搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
大學醫學系,中山醫學大學醫學系(026012),70,不要求,210,無,無,無,1400,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026012.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2037
大學牙醫學系,中山醫學大學牙醫學系(026022),29,不要求,87,無,2,無,1400,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026022.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2054
大學物理治療學系,中山醫學大學物理治療學系(026032),15,不要求,45,2,無,無,1100,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026032.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2040
大學職能治療學系、職治,中山醫學大學職能治療學系(026042),19,不要求,57,2,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026042.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2041
大學語言治療與聽力學系語言治療組,中山醫學大學語言治療與聽力學系語言治療組(026052),26,不要求,78,1,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026052.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2042
大學語言治療與聽力學系聽力組,中山醫學大學語言治療與聽力學系聽力組(026062),26,不要求,78,1,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026062.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2042
大學生物醫學科學學系、生醫,中山醫學大學生物醫學科學學系(026072),48,不要求,144,4,無,無,1100,112.05.26至112.05.28,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026072.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2035
大學視光學系,中山醫學大學視光學系(026082),33,不要求,99,1,無,無,1100,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026082.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2051
大學醫學影像暨放射科學系、醫影,中山醫學大學醫學影像暨放射科學系(026092),39,不要求,117,2,無,無,1100,112.05.27至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026092.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2050
大學心理學系,中山醫學大學心理學系(026102),26,不要求,78,3,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026102.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2032
大學營養學系,中山醫學大學營養學系(A組)(026112),22,不要求,66,1,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026112.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2045
大學營養學系,中山醫學大學營養學系(B組)(026122),10,不要求,50,1,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026122.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2045
大學職業安全衛生學系,中山醫學大學職業安全衛生學系(026132),30,不要求,90,2,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026132.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2039
大學醫學應用化學系,中山醫學大學醫學應用化學系(026142),23,不要求,69,3,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_026142.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2036
