搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
機械與自動化工程學系,大葉大學機械與自動化工程學系(車輛科技與綠色能源組)(042012),9,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042012.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1588
機械與自動化工程學系,大葉大學機械與自動化工程學系(智慧製造與系統應用組)(042022),10,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042022.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1588
機械與自動化工程學系,大葉大學機械與自動化工程學系(機電控制與自動化組)(042032),10,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042032.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1588
機械與自動化工程學系,大葉大學機械與自動化工程學系(風力發電技術應用組)(042042),5,不要求,50,無,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042042.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1588
電機工程學系、電機,大葉大學電機工程學系(半導體組)(042052),12,不要求,48,2,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042052.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1585
電機工程學系、電機,大葉大學電機工程學系(智慧系統組)(042062),12,不要求,48,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042062.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1585
資訊工程學系、資工,大葉大學資訊工程學系(資訊工程組)(042072),14,不要求,49,2,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042072.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1587
資訊工程學系、資工,大葉大學資訊工程學系(資訊應用組)(042082),11,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042082.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1587
環境工程學系、環工,大葉大學環境工程學系(環保技術組)(042092),9,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042092.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1591
環境工程學系、環工,大葉大學環境工程學系(環境管理組)(042102),10,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042102.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1591
消防安全學士學位學程,大葉大學消防安全學士學位學程(消防科技組)(042112),10,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042112.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1606
消防安全學士學位學程,大葉大學消防安全學士學位學程(消防管理組)(042122),11,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042122.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1606
企業管理學系、企管,大葉大學企業管理學系(經營管理組)(042132),11,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_042132.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1571
