搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
機械與電腦輔助工程學系,逢甲大學機械與電腦輔助工程學系(015012),60,不要求,180,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015012.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1430
纖維與複合材料學系,逢甲大學纖維與複合材料學系(015022),36,不要求,108,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015022.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1438
工業工程與系統管理學系A組、工工,逢甲大學工業工程與系統管理學系A組(015032),27,不要求,81,無,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015032.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1435
工業工程與系統管理學系B組、工工,逢甲大學工業工程與系統管理學系B組(015042),43,不要求,129,1,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015042.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1435
化學工程學系、化工,逢甲大學化學工程學系(015052),64,不要求,192,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015052.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1433
航太與系統工程學系,逢甲大學航太與系統工程學系(015062),74,不要求,222,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015062.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1429
精密系統設計學士學位學程,逢甲大學精密系統設計學士學位學程(015072),26,不要求,78,1,無,無,1000,112.05.18,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015072.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1431
應用數學系A組、應數,逢甲大學應用數學系A組(015082),48,不要求,144,無,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015082.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1418
應用數學系B組、應數,逢甲大學應用數學系B組(015092),20,不要求,60,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015092.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1418
材料科學與工程學系,逢甲大學材料科學與工程學系(015102),72,不要求,216,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015102.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1434
環境工程與科學學系、環工,逢甲大學環境工程與科學學系(015112),71,不要求,213,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015112.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1439
光電科學與工程學系,逢甲大學光電科學與工程學系(015122),75,不要求,225,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015122.htm?v=1.0,https://www.unews.com.tw/School/Info/55
會計學系、會計,逢甲大學會計學系(015132),82,不要求,246,2,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015132.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1409
國際經營與貿易學系,逢甲大學國際經營與貿易學系(015142),90,不要求,270,1,1,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015142.htm?v=1.0,https://www.unews.com.tw/School/Info/55
國際企業管理全英語學士學位學程、企管,逢甲大學國際企業管理全英語學士學位學程(015152),34,不要求,102,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015152.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1411
財稅學系,逢甲大學財稅學系(015162),62,不要求,186,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015162.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1416
合作經濟暨社會事業經營學系,逢甲大學合作經濟暨社會事業經營學系(015172),12,不要求,48,4,無,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015172.htm?v=1.0,https://www.unews.com.tw/School/Info/55
統計學系商業大數據組,逢甲大學統計學系商業大數據組(015182),35,不要求,105,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015182.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1421
統計學系大數據分析與市場決策組,逢甲大學統計學系大數據分析與市場決策組(015192),35,不要求,105,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015192.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1421
經濟學系,逢甲大學經濟學系(015202),68,不要求,204,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015202.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1407
企業管理學系、企管,逢甲大學企業管理學系(015212),66,不要求,198,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015212.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1410
行銷學系,逢甲大學行銷學系(015222),81,不要求,243,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015222.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1417
中國文學系、中文,逢甲大學中國文學系(015232),30,不要求,90,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015232.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1405
外國語文學系、外文,逢甲大學外國語文學系(015242),58,不要求,174,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015242.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1406
資訊工程學系、資工,逢甲大學資訊工程學系(015252),99,不要求,297,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015252.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1425
資訊工程學系、資工、apcs,逢甲大學資訊工程學系(APCS組)(015262),5,不要求,25,無,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015262.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1425
資訊工程學系、資工、資安組,逢甲大學資訊工程學系(資安組)(015272),5,不要求,25,無,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015272.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1425
電子工程學系,逢甲大學電子工程學系(015282),78,不要求,234,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015282.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1423
電機工程學系、電機,逢甲大學電機工程學系(015292),71,不要求,213,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015292.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1422
自動控制工程學系,逢甲大學自動控制工程學系(015302),80,不要求,240,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015302.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1427
資訊電機學院學士班,逢甲大學資訊電機學院學士班(015312),81,不要求,243,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015312.htm?v=1.0,https://www.unews.com.tw/School/Info/55
通訊工程學系,逢甲大學通訊工程學系(015322),77,不要求,231,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015322.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1426
土木工程學系、土木,逢甲大學土木工程學系(015332),60,不要求,180,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015332.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1432
水利工程與資源保育學系,逢甲大學水利工程與資源保育學系(015342),61,不要求,183,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015342.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1440
都市計畫與空間資訊學系,逢甲大學都市計畫與空間資訊學系(015352),68,不要求,204,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015352.htm?v=1.0,https://www.unews.com.tw/School/Department/55/3414
運輸與物流學系,逢甲大學運輸與物流學系(015362),71,不要求,213,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015362.htm?v=1.0,https://www.unews.com.tw/School/Info/55
土地管理學系,逢甲大學土地管理學系(015372),69,不要求,207,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015372.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1442
財務金融學系、財金,逢甲大學財務金融學系(015382),103,不要求,309,1,1,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015382.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1413
風險管理與保險學系,逢甲大學風險管理與保險學系(015392),76,不要求,228,2,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015392.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1415
財務工程與精算學士學位學程,逢甲大學財務工程與精算學士學位學程(015402),34,不要求,102,1,無,無,1000,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015402.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1414
建築專業學院學士班,逢甲大學建築專業學院學士班(015412),81,不要求,243,2,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015412.htm?v=1.0,https://www.unews.com.tw/School/Info/55
澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,逢甲大學澳洲墨爾本皇家理工大學商學與創新雙學士學位學程(015422),14,不要求,42,無,無,無,1000,112.05.18至112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015422.htm?v=1.0,https://www.unews.com.tw/School/Department/55/1446
澳洲昆士蘭大學商學雙學士學位學程,逢甲大學澳洲昆士蘭大學商學雙學士學位學程(015432),9,不要求,45,無,無,無,1000,112.05.18至112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_015432.htm?v=1.0,https://www.unews.com.tw/School/Department/55/3752
