搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
文化資產與創意學系,佛光大學文化資產與創意學系(130012),15,不要求,45,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130012.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2579
傳播學系,佛光大學傳播學系(數位媒體組)(130022),17,不要求,51,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130022.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3604
傳播學系,佛光大學傳播學系(廣告公關組)(130032),16,不要求,48,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130032.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3604
傳播學系,佛光大學傳播學系(流行音樂傳播組)(130042),16,不要求,48,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130042.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3604
資訊應用學系,佛光大學資訊應用學系(資訊系統與智慧應用組)(130052),15,不要求,45,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130052.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3420
資訊應用學系,佛光大學資訊應用學系(動畫與數位內容組)(130062),14,不要求,49,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130062.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3420
資訊應用學系,佛光大學資訊應用學系(數位遊戲開發組)(130072),14,不要求,49,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130072.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3420
中國文學與應用學系、中文,佛光大學中國文學與應用學系(130082),23,不要求,69,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130082.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2575
歷史學系,佛光大學歷史學系(A組)(130092),15,不要求,45,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130092.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2578
歷史學系,佛光大學歷史學系(B組)(130102),9,不要求,50,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130102.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2578
外國語文學系、外文,佛光大學外國語文學系(130112),35,不要求,105,5,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130112.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2576
社會學暨社會工作學系、社工,佛光大學社會學暨社會工作學系(130122),36,不要求,108,4,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130122.htm?v=1.0,https://www.unews.com.tw/School/Info/98
心理學系,佛光大學心理學系(130132),35,不要求,105,5,無,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130132.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2588
公共事務學系,佛光大學公共事務學系(國際與兩岸事務組)(130142),19,不要求,57,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130142.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3603
公共事務學系,佛光大學公共事務學系(行政管理組)(130152),19,不要求,57,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130152.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3603
管理學院運動與健康促進管理學士學位學程,佛光大學管理學院運動與健康促進管理學士學位學程(130162),8,不要求,48,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130162.htm?v=1.0,https://www.unews.com.tw/School/Info/98
管理學系,佛光大學管理學系(經營管理組)(130172),16,不要求,48,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130172.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3382
管理學系,佛光大學管理學系(健康事業管理組)(130182),15,不要求,45,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130182.htm?v=1.0,https://www.unews.com.tw/School/Department/98/3382
應用經濟學系、財金,佛光大學應用經濟學系(財務金融組)(130192),22,不要求,66,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130192.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2583
應用經濟學系,佛光大學應用經濟學系(國際商務組)(130202),16,不要求,48,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130202.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2583
未來與樂活產業學系,佛光大學未來與樂活產業學系(130212),25,不要求,75,4,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130212.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2587
健康與創意蔬食產業學系,佛光大學健康與創意蔬食產業學系(130222),16,不要求,48,5,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130222.htm?v=1.0,https://www.unews.com.tw/School/Info/98
產品與媒體設計學系,佛光大學產品與媒體設計學系(創意產品設計組)(130232),28,不要求,140,4,無,無,1000,112.05.19至112.05.20,美術,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130232.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2580
產品與媒體設計學系（商業媒體設計組）,佛光大學產品與媒體設計學系（商業媒體設計組）(130242),27,不要求,270,4,無,無,1000,112.05.19至112.05.20,美術,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_130242.htm?v=1.0,https://www.unews.com.tw/School/Department/98/2580
