搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,輔仁大學中國文學系(020012),54,不要求,162,無,無,無,1100,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020012.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1164
歷史學系,輔仁大學歷史學系(020022),50,不要求,150,1,1,無,1100,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020022.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1172
哲學系,輔仁大學哲學系(020032),45,不要求,135,5,無,無,1100,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020032.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1173
景觀設計學系,輔仁大學景觀設計學系(020042),22,不要求,66,2,1,無,1100,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020042.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1200
影像傳播學系,輔仁大學影像傳播學系(020052),25,不要求,75,1,1,無,1100,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020052.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1179
新聞傳播學系,輔仁大學新聞傳播學系(020062),28,不要求,84,2,無,無,1100,112.05.20、112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020062.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1178
廣告傳播學系,輔仁大學廣告傳播學系(020072),29,不要求,87,1,1,無,1100,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020072.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1181
圖書資訊學系,輔仁大學圖書資訊學系(020082),39,不要求,117,無,無,無,1100,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020082.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1180
教育領導與科技發展學士學位學程,輔仁大學教育領導與科技發展學士學位學程(020092),20,不要求,60,無,無,無,1100,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020092.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1159
護理學系,輔仁大學護理學系(020102),48,不要求,144,無,無,無,1100,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020102.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1206
護理學系,輔仁大學護理學系(青年儲蓄帳戶組)(020112),1,不要求,50,無,無,無,1100,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020112.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1206
公共衛生學系、公衛,輔仁大學公共衛生學系(020122),26,不要求,78,1,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020122.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1203
醫學系,輔仁大學醫學系(020132),16,不要求,48,無,無,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020132.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1202
醫學系,輔仁大學醫學系(公費生)(020142),7,不要求,21,無,無,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020142.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1202
臨床心理學系,輔仁大學臨床心理學系(020152),33,不要求,99,2,1,無,1100,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020152.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1177
職能治療學系、職治,輔仁大學職能治療學系(020162),32,不要求,96,無,無,無,1100,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020162.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1204
呼吸治療學系,輔仁大學呼吸治療學系(020172),23,不要求,69,無,無,無,1100,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020172.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1207
數學系資訊數學組,輔仁大學數學系資訊數學組(020182),30,不要求,90,1,無,無,1100,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020182.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3544
數學系應用數學組、應數,輔仁大學數學系應用數學組(020192),26,不要求,78,1,1,無,1100,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020192.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3544
化學系,輔仁大學化學系(020202),59,不要求,177,7,無,無,1100,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020202.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1188
資訊工程學系、資工,輔仁大學資訊工程學系(020212),53,不要求,159,無,1,無,1100,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020212.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1199
資訊工程學系、資工、apcs,輔仁大學資訊工程學系(APCS組)(020222),5,不要求,15,無,無,無,1100,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020222.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1199
生命科學系、生科,輔仁大學生命科學系(020232),64,不要求,192,6,無,無,1100,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020232.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1187
物理學系物理組,輔仁大學物理學系物理組(020242),20,不要求,60,2,無,無,1100,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020242.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3543
物理學系光電物理組,輔仁大學物理學系光電物理組(020252),35,不要求,105,3,無,無,1100,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020252.htm?v=1.0,https://www.unews.com.tw/School/Department/50/3543
電機工程學系、電機,輔仁大學電機工程學系(020262),56,不要求,168,無,1,無,1100,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_020262.htm?v=1.0,https://www.unews.com.tw/School/Department/50/1196
