搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
社會工作學系、社工,玄奘大學社會工作學系(065012),26,不要求,78,2,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065012.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2309
應用心理學系,玄奘大學應用心理學系(065022),45,不要求,135,2,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065022.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2298
法律學系,玄奘大學法律學系(065032),36,不要求,108,1,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065032.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2307
大眾傳播學系、大傳,玄奘大學大眾傳播學系(065042),24,不要求,72,2,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065042.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2299
影劇藝術學系,玄奘大學影劇藝術學系(065052),10,不要求,50,2,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065052.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2290
應用日語學系、日文,玄奘大學應用日語學系(065062),18,不要求,54,1,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065062.htm?v=1.0,https://www.unews.com.tw/School/Department/87/3433
餐旅管理學系,玄奘大學餐旅管理學系(065072),14,不要求,42,無,無,無,500,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065072.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2310
視覺傳達設計學系、視傳,玄奘大學視覺傳達設計學系(065082),19,不要求,95,1,無,無,500,112.05.19至112.05.20,美術,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065082.htm?v=1.0,https://www.unews.com.tw/School/Department/87/3472
藝術與創意設計學系,玄奘大學藝術與創意設計學系(065092),18,不要求,90,1,無,無,500,112.05.19至112.05.20,美術,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065092.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2291
時尚設計學系,玄奘大學時尚設計學系(065102),13,不要求,65,1,無,無,500,112.05.19至112.05.20,美術,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_065102.htm?v=1.0,https://www.unews.com.tw/School/Department/87/2295
