搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
智慧生活科技學系大數據與管理組,華梵大學智慧生活科技學系大數據與管理組(044012),11,不要求,39,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044012.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3488
智慧生活科技學系大數據與管理組,華梵大學智慧生活科技學系大數據與管理組(青年儲蓄帳戶組)(044022),1,不要求,50,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044022.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3488
智慧生活科技學系智慧產品開發組,華梵大學智慧生活科技學系智慧產品開發組(044032),11,不要求,39,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044032.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3488
智慧生活科技學系智慧產品開發組,華梵大學智慧生活科技學系智慧產品開發組(青年儲蓄帳戶組)(044042),1,不要求,50,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044042.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3488
智慧生活設計學系空間設計組,華梵大學智慧生活設計學系空間設計組(044052),15,不要求,45,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044052.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3627
智慧生活設計學系創意產品與汽車設計組,華梵大學智慧生活設計學系創意產品與汽車設計組(044062),10,不要求,35,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044062.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3627
攝影與VR設計學系攝影與科技藝術組,華梵大學攝影與VR設計學系攝影與科技藝術組(044072),15,不要求,45,1,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044072.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3489
攝影與VR設計學系VR與互動媒體組,華梵大學攝影與VR設計學系VR與互動媒體組(044082),10,不要求,30,1,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044082.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3489
佛教藝術學系佛學組,華梵大學佛教藝術學系佛學組(044092),2,不要求,50,無,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044092.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3628
佛教藝術學系藝術組,華梵大學佛教藝術學系藝術組(044102),2,不要求,50,1,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044102.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3628
美術與文創學系文創設計組,華梵大學美術與文創學系文創設計組(044112),15,不要求,45,1,無,無,750,112.05.18至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044112.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3563
美術與文創學系美術創作組,華梵大學美術與文創學系美術創作組(044122),15,不要求,60,1,無,無,750,112.05.18至112.05.21,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_044122.htm?v=1.0,https://www.unews.com.tw/School/Department/61/3563
