搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
電機工程學系、電機,義守大學電機工程學系(045012),95,不要求,285,12,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045012.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1641
電子工程學系,義守大學電子工程學系(045022),56,不要求,168,6,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045022.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1642
資訊工程學系資訊工程組、資工,義守大學資訊工程學系資訊工程組(045032),62,不要求,186,6,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045032.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1645
資訊工程學系資訊應用組、資工,義守大學資訊工程學系資訊應用組(045042),26,不要求,78,5,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045042.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1645
資訊工程學系、資工、apcs,義守大學資訊工程學系(APCS組)(045052),5,不要求,50,無,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045052.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1645
資訊工程學系、資工、資安組,義守大學資訊工程學系(資安組)(045062),5,不要求,50,無,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045062.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1645
智慧網路科技學系智慧軟體應用組,義守大學智慧網路科技學系智慧軟體應用組(045072),23,不要求,69,2,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045072.htm?v=1.0,https://www.unews.com.tw/School/Info/62
智慧網路科技學系智慧網通科技組,義守大學智慧網路科技學系智慧網通科技組(045082),10,不要求,50,1,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045082.htm?v=1.0,https://www.unews.com.tw/School/Info/62
機械與自動化工程學系,義守大學機械與自動化工程學系(045092),40,不要求,120,4,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045092.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1647
化學工程學系、化工,義守大學化學工程學系(045102),55,不要求,165,6,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045102.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1651
土木工程學系、土木,義守大學土木工程學系(045112),35,不要求,105,4,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045112.htm?v=1.0,https://www.unews.com.tw/School/Info/62
材料科學與工程學系,義守大學材料科學與工程學系(045122),60,不要求,180,7,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045122.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1652
資料科學與大數據分析學系,義守大學資料科學與大數據分析學系(045132),33,不要求,99,3,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045132.htm?v=1.0,https://www.unews.com.tw/School/Info/62
生物醫學工程學系、生醫,義守大學生物醫學工程學系(045142),59,不要求,177,7,無,無,950,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_045142.htm?v=1.0,https://www.unews.com.tw/School/Department/62/1653
