搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
大學醫學系,高雄醫學大學醫學系(007012),78,不要求,234,無,無,無,1500,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007012.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805
大學醫學系,高雄醫學大學醫學系(公費生)(007022),8,不要求,24,無,無,無,1500,112.05.19至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007022.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805
大學運動醫學系,高雄醫學大學運動醫學系(007032),28,不要求,84,無,無,無,1000,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007032.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805
大學呼吸治療學系,高雄醫學大學呼吸治療學系(007042),23,不要求,69,無,1,無,1200,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007042.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1815
大學牙醫學系,高雄醫學大學牙醫學系(007052),46,不要求,115,無,3,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007052.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1805
大學口腔衛生學系,高雄醫學大學口腔衛生學系(007062),25,不要求,75,無,無,無,1000,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007062.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1819
大學藥學系,高雄醫學大學藥學系(007072),76,不要求,228,無,1,無,1150,112.05.27至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007072.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1807
大學香粧品學系,高雄醫學大學香粧品學系(007082),42,不要求,126,2,無,無,1000,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007082.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1810
大學護理學系,高雄醫學大學護理學系(007092),38,不要求,114,無,無,無,1000,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007092.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1814
大學醫學檢驗生物技術學系,高雄醫學大學醫學檢驗生物技術學系(007102),22,不要求,66,1,無,無,1000,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_007102.htm?v=1.0,https://www.unews.com.tw/School/Department/67/1816
