搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
企業與創業管理學系,開南大學企業與創業管理學系(110012),23,不要求,69,4,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110012.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2552
國際企業學系、國企,開南大學國際企業學系(110022),27,不要求,81,4,無,無,500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110022.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2551
商學院國際榮譽學士學位學程,開南大學商學院國際榮譽學士學位學程(110032),12,不要求,48,無,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110032.htm?v=1.0,https://www.unews.com.tw/School/Department/97/3757
國際物流與運輸管理學系,開南大學國際物流與運輸管理學系(110042),30,不要求,90,4,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110042.htm?v=1.0,https://www.unews.com.tw/School/Info/97
空運管理學系,開南大學空運管理學系(110052),46,不要求,138,7,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110052.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2574
觀光與餐飲旅館學系,開南大學觀光與餐飲旅館學系(110062),44,不要求,132,7,無,無,500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110062.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2567
觀光與餐飲旅館學系,開南大學觀光與餐飲旅館學系(青年儲蓄帳戶組)(110072),1,不要求,50,無,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110072.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2567
休閒事業管理學系,開南大學休閒事業管理學系(110082),20,不要求,60,3,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110082.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2570
資訊管理學系、資管,開南大學資訊管理學系(110092),30,不要求,90,4,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110092.htm?v=1.0,https://www.unews.com.tw/School/Department/97/3419
資訊傳播學系,開南大學資訊傳播學系(110102),29,不要求,87,4,無,無,500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110102.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2549
電影與創意媒體學系,開南大學電影與創意媒體學系(110112),39,不要求,117,6,無,無,500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110112.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2544
法律學系,開南大學法律學系(110122),58,不要求,174,10,無,無,500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110122.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2560
應用日語學系、日文,開南大學應用日語學系(110132),60,不要求,180,10,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110132.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2546
應用英語學系、英文,開南大學應用英語學系(110142),27,不要求,81,4,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110142.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2545
保健營養學系,開南大學保健營養學系(110152),28,不要求,84,4,無,無,500,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110152.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2563
健康產業管理學系,開南大學健康產業管理學系(110162),28,不要求,84,5,無,無,500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_110162.htm?v=1.0,https://www.unews.com.tw/School/Department/97/2558
