搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
企業管理學系品牌行銷組（臺北校區）、企管,銘傳大學企業管理學系品牌行銷組（臺北校區）(046012),46,不要求,138,無,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046012.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1713
企業管理學系企業管理組（臺北校區）、企管,銘傳大學企業管理學系企業管理組（臺北校區）(046022),39,不要求,117,7,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046022.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1713
企業管理學系數位經營組（臺北校區）、企管,銘傳大學企業管理學系數位經營組（臺北校區）(046032),33,不要求,99,無,無,無,900,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046032.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1713
會計學系會計審計組（臺北校區）、會計,銘傳大學會計學系會計審計組（臺北校區）(046042),62,不要求,186,2,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046042.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1712
會計學系稅務規劃組（臺北校區）、會計,銘傳大學會計學系稅務規劃組（臺北校區）(046052),63,不要求,189,3,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046052.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1712
財務金融學系（臺北校區）、財金,銘傳大學財務金融學系（臺北校區）(046062),109,不要求,327,8,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046062.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1717
風險管理與保險學系保險金融與行銷組（臺北校區）,銘傳大學風險管理與保險學系保險金融與行銷組（臺北校區）(046072),55,不要求,165,3,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046072.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1720
風險管理與保險學系風險管理組（臺北校區）,銘傳大學風險管理與保險學系風險管理組（臺北校區）(046082),28,不要求,84,2,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046082.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1720
國際企業學系跨境電商經營組（臺北校區）、國企,銘傳大學國際企業學系跨境電商經營組（臺北校區）(046092),55,不要求,165,5,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046092.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1714
國際企業學系外貿行銷管理組（臺北校區）、國企,銘傳大學國際企業學系外貿行銷管理組（臺北校區）(046102),56,不要求,168,無,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046102.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1714
新媒體暨傳播管理學系（臺北校區）,銘傳大學新媒體暨傳播管理學系（臺北校區）(046112),34,不要求,102,2,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046112.htm?v=1.0,https://www.unews.com.tw/School/Info/64
廣播電視學系（臺北校區）,銘傳大學廣播電視學系（臺北校區）(046122),37,不要求,111,3,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046122.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1709
廣告暨策略行銷學系（臺北校區）,銘傳大學廣告暨策略行銷學系（臺北校區）(046132),36,不要求,108,3,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046132.htm?v=1.0,https://www.unews.com.tw/School/Info/64
新聞學系（臺北校區）,銘傳大學新聞學系（臺北校區）(046142),22,不要求,66,2,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046142.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1708
法律學系（臺北校區）,銘傳大學法律學系（臺北校區）(046152),61,不要求,183,5,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046152.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1723
財金法律學系（臺北校區）,銘傳大學財金法律學系（臺北校區）(046162),31,不要求,93,2,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046162.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1724
國際企業與貿易學士學位學程、國企,銘傳大學國際企業與貿易學士學位學程（全英語授課．臺北校區）(046172),24,不要求,72,1,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046172.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1737
新聞與大眾傳播學士學位學程、英文,銘傳大學新聞與大眾傳播學士學位學程（全英語授課．臺北校區）(046182),15,不要求,45,1,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046182.htm?v=1.0,https://www.unews.com.tw/School/Department/64/3480
時尚與創新管理學士學位學程、英文,銘傳大學時尚與創新管理學士學位學程（全英語授課．臺北校區）(046192),15,不要求,45,1,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046192.htm?v=1.0,https://www.unews.com.tw/School/Department/64/3479
國際事務與外交學士學位學程、英文,銘傳大學國際事務與外交學士學位學程（全英語授課．桃園校區）(046202),20,不要求,60,2,無,無,900,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_046202.htm?v=1.0,https://www.unews.com.tw/School/Department/64/1738
