搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,國立政治大學中國文學系(006012),37,不要求,111,2,無,無,1300,112.05.26至112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006012.htm?v=1.0,https://www.unews.com.tw/School/Department/1/2
歷史學系,國立政治大學歷史學系(006022),20,不要求,60,1,無,無,1300,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006022.htm?v=1.0,https://www.unews.com.tw/School/Department/1/12
哲學系,國立政治大學哲學系(006032),24,不要求,72,無,無,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006032.htm?v=1.0,https://www.unews.com.tw/School/Department/1/13
教育學系,國立政治大學教育學系(006042),23,不要求,69,1,無,無,1300,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006042.htm?v=1.0,https://www.unews.com.tw/School/Department/1/1
政治學系,國立政治大學政治學系(006052),20,不要求,60,2,無,無,1300,112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006052.htm?v=1.0,https://www.unews.com.tw/School/Department/1/15
社會學系,國立政治大學社會學系(006062),20,不要求,60,2,無,無,1300,112.05.25,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006062.htm?v=1.0,https://www.unews.com.tw/School/Department/1/16
財政學系、財政,國立政治大學財政學系(006072),34,不要求,102,1,無,無,1300,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006072.htm?v=1.0,https://www.unews.com.tw/School/Department/1/31
公共行政學系,國立政治大學公共行政學系(006082),16,不要求,48,1,無,無,1300,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006082.htm?v=1.0,https://www.unews.com.tw/School/Department/1/19
地政學系土地資源規劃組,國立政治大學地政學系土地資源規劃組(006092),22,不要求,66,無,1,無,1300,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006092.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3498
地政學系土地管理組,國立政治大學地政學系土地管理組(006102),21,不要求,63,無,無,無,1300,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_006102.htm?v=1.0,https://www.unews.com.tw/School/Department/1/3498
