搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,國立中興大學中國文學系(003012),27,不要求,81,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003012.htm?v=1.0,https://www.unews.com.tw/School/Department/6/239
外國語文學系、外文,國立中興大學外國語文學系(003022),20,不要求,60,2,1,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003022.htm?v=1.0,https://www.unews.com.tw/School/Department/6/240
歷史學系,國立中興大學歷史學系(003032),23,不要求,69,3,無,無,1200,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003032.htm?v=1.0,https://www.unews.com.tw/School/Department/6/241
台灣人文創新學士學位學程,國立中興大學台灣人文創新學士學位學程(003042),7,不要求,49,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003042.htm?v=1.0,https://www.unews.com.tw/School/Department/6/3617
財務金融學系、財金,國立中興大學財務金融學系(003052),27,不要求,81,2,2,無,900,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003052.htm?v=1.0,https://www.unews.com.tw/School/Department/6/245
企業管理學系、企管,國立中興大學企業管理學系(003062),22,不要求,66,1,無,無,900,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003062.htm?v=1.0,https://www.unews.com.tw/School/Department/6/244
資訊管理學系、資管,國立中興大學資訊管理學系(003072),16,不要求,48,1,無,無,900,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003072.htm?v=1.0,https://www.unews.com.tw/School/Department/6/255
會計學系、會計,國立中興大學會計學系(003082),20,不要求,60,2,無,無,900,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003082.htm?v=1.0,https://www.unews.com.tw/School/Department/6/243
行銷學系,國立中興大學行銷學系(003092),22,不要求,66,3,無,無,1200,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003092.htm?v=1.0,https://www.unews.com.tw/School/Department/6/246
應用經濟學系,國立中興大學應用經濟學系(003102),17,不要求,51,3,1,無,900,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003102.htm?v=1.0,https://www.unews.com.tw/School/Department/6/242
法律學系,國立中興大學法律學系(003112),16,不要求,48,2,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003112.htm?v=1.0,https://www.unews.com.tw/School/Department/6/247
化學系,國立中興大學化學系(003122),23,不要求,69,3,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003122.htm?v=1.0,https://www.unews.com.tw/School/Department/6/251
物理學系一般物理組,國立中興大學物理學系一般物理組(003132),17,不要求,51,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_003132.htm?v=1.0,https://www.unews.com.tw/School/Department/6/3506
