搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,國立成功大學中國文學系(004012),12,不要求,36,無,無,無,1500,112.05.18,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004012.htm?v=1.0,https://www.unews.com.tw/School/Department/5/193
外國語文學系、外文,國立成功大學外國語文學系(004022),12,不要求,36,無,1,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004022.htm?v=1.0,https://www.unews.com.tw/School/Department/5/194
歷史學系,國立成功大學歷史學系(004032),15,不要求,45,1,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004032.htm?v=1.0,https://www.unews.com.tw/School/Department/5/195
台灣文學系,國立成功大學台灣文學系(004042),20,不要求,50,5,無,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004042.htm?v=1.0,https://www.unews.com.tw/School/Info/5
數學系,國立成功大學數學系(004052),25,不要求,75,1,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004052.htm?v=1.0,https://www.unews.com.tw/School/Department/5/211
數學系、apcs,國立成功大學數學系(APCS組)(004062),3,不要求,15,無,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004062.htm?v=1.0,https://www.unews.com.tw/School/Department/5/211
物理學系,國立成功大學物理學系(004072),20,不要求,60,無,無,無,1500,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004072.htm?v=1.0,https://www.unews.com.tw/School/Department/5/208
化學系,國立成功大學化學系(004082),31,不要求,93,2,1,無,1500,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004082.htm?v=1.0,https://www.unews.com.tw/School/Department/5/206
地球科學系,國立成功大學地球科學系(004092),25,不要求,75,2,無,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004092.htm?v=1.0,https://www.unews.com.tw/School/Department/5/207
光電科學與工程學系,國立成功大學光電科學與工程學系(004102),18,不要求,54,1,無,無,1500,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_004102.htm?v=1.0,https://www.unews.com.tw/School/Department/5/214
