搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國語文學系,國立暨南國際大學中國語文學系(058012),26,不要求,78,2,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058012.htm?v=1.0,https://www.unews.com.tw/School/Department/19/597
外國語文學系、外文,國立暨南國際大學外國語文學系(058022),20,不要求,60,2,無,無,1200,112.05.18至112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058022.htm?v=1.0,https://www.unews.com.tw/School/Department/19/598
社會政策與社會工作學系、社工,國立暨南國際大學社會政策與社會工作學系(058032),19,不要求,57,2,無,5,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058032.htm?v=1.0,https://www.unews.com.tw/School/Department/19/613
公共行政與政策學系,國立暨南國際大學公共行政與政策學系(058042),26,不要求,78,無,無,5,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058042.htm?v=1.0,https://www.unews.com.tw/School/Department/19/604
歷史學系,國立暨南國際大學歷史學系(058052),19,不要求,57,2,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058052.htm?v=1.0,https://www.unews.com.tw/School/Department/19/599
東南亞學系,國立暨南國際大學東南亞學系(058062),24,不要求,72,2,無,無,1200,112.05.18至112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058062.htm?v=1.0,https://www.unews.com.tw/School/Department/19/601
國際企業學系、國企,國立暨南國際大學國際企業學系(058072),27,不要求,81,2,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058072.htm?v=1.0,https://www.unews.com.tw/School/Department/19/605
經濟學系,國立暨南國際大學經濟學系(058082),29,不要求,87,2,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058082.htm?v=1.0,https://www.unews.com.tw/School/Department/19/600
資訊管理學系、資管,國立暨南國際大學資訊管理學系(058092),26,不要求,78,3,無,無,1200,112.05.18至112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058092.htm?v=1.0,https://www.unews.com.tw/School/Department/19/608
資訊管理學系、資管、資安組,國立暨南國際大學資訊管理學系(資安組)(058102),5,不要求,15,無,無,無,1000,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_058102.htm?v=1.0,https://www.unews.com.tw/School/Department/19/608
