搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,國立中央大學中國文學系(016012),21,不要求,63,2,無,無,1000,112.05.26、112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016012.htm?v=1.0,https://www.unews.com.tw/School/Department/8/306
英美語文學系,國立中央大學英美語文學系(016022),15,不要求,45,1,無,無,1000,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016022.htm?v=1.0,https://www.unews.com.tw/School/Department/8/307
法國語文學系,國立中央大學法國語文學系(016032),14,不要求,42,1,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016032.htm?v=1.0,https://www.unews.com.tw/School/Department/8/308
文學院學士班,國立中央大學文學院學士班(016042),9,不要求,27,1,無,無,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016042.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3621
數學系數學科學組,國立中央大學數學系數學科學組(016052),17,不要求,51,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016052.htm?v=1.0,https://www.unews.com.tw/School/Department/8/320
數學系計算與資料科學組,國立中央大學數學系計算與資料科學組(016062),17,不要求,51,1,1,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016062.htm?v=1.0,https://www.unews.com.tw/School/Department/8/320
物理學系,國立中央大學物理學系(016072),18,不要求,54,1,1,無,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016072.htm?v=1.0,https://www.unews.com.tw/School/Department/8/316
化學學系,國立中央大學化學學系(016082),17,不要求,51,1,無,無,1000,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016082.htm?v=1.0,https://www.unews.com.tw/School/Department/8/314
光電科學與工程學系,國立中央大學光電科學與工程學系(016092),18,不要求,54,2,無,無,1000,112.05.26、112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016092.htm?v=1.0,https://www.unews.com.tw/School/Department/8/323
土木工程學系、土木,國立中央大學土木工程學系(016102),41,不要求,123,1,1,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016102.htm?v=1.0,https://www.unews.com.tw/School/Department/8/329
機械工程學系先進材料與精密製造組、機械,國立中央大學機械工程學系先進材料與精密製造組(016112),22,不要求,66,1,1,無,1000,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016112.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3510
機械工程學系光機電工程組、機械,國立中央大學機械工程學系光機電工程組(016122),24,不要求,72,1,無,無,1000,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016122.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3510
機械工程學系設計與分析組、機械,國立中央大學機械工程學系設計與分析組(016132),24,不要求,72,1,無,無,1000,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_016132.htm?v=1.0,https://www.unews.com.tw/School/Department/8/3510
