搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
輔導與諮商學系學校輔導與諮商組,國立彰化師範大學輔導與諮商學系學校輔導與諮商組(023012),16,不要求,40,3,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023012.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3514
輔導與諮商學系學校輔導與諮商組,國立彰化師範大學輔導與諮商學系學校輔導與諮商組(公費生甲組)(023022),1,不要求,8,無,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023022.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3514
輔導與諮商學系學校輔導與諮商組,國立彰化師範大學輔導與諮商學系學校輔導與諮商組(公費生乙組)(023032),1,不要求,8,無,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023032.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3514
輔導與諮商學系社區輔導與諮商組,國立彰化師範大學輔導與諮商學系社區輔導與諮商組(023042),13,不要求,33,3,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023042.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3514
特殊教育學系,國立彰化師範大學特殊教育學系(023052),28,不要求,84,無,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023052.htm?v=1.0,https://www.unews.com.tw/School/Department/13/436
特殊教育學系,國立彰化師範大學特殊教育學系(公費生甲組)(023062),1,不要求,15,無,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023062.htm?v=1.0,https://www.unews.com.tw/School/Department/13/436
特殊教育學系,國立彰化師範大學特殊教育學系(公費生乙組)(023072),1,不要求,15,無,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023072.htm?v=1.0,https://www.unews.com.tw/School/Department/13/436
數學系,國立彰化師範大學數學系(023082),35,不要求,105,6,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023082.htm?v=1.0,https://www.unews.com.tw/School/Department/13/450
物理學系物理組,國立彰化師範大學物理學系物理組(023092),20,不要求,60,3,無,無,1200,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023092.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3515
物理學系光電組,國立彰化師範大學物理學系光電組(023102),19,不要求,57,3,無,無,1200,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023102.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3515
生物學系,國立彰化師範大學生物學系(023112),17,不要求,51,3,無,無,1200,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023112.htm?v=1.0,https://www.unews.com.tw/School/Department/13/446
生物學系,國立彰化師範大學生物學系(公費生)(023122),1,不要求,10,無,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023122.htm?v=1.0,https://www.unews.com.tw/School/Department/13/446
化學系,國立彰化師範大學化學系(023132),22,不要求,66,4,無,無,1200,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023132.htm?v=1.0,https://www.unews.com.tw/School/Department/13/447
英語學系、英文,國立彰化師範大學英語學系(023142),18,不要求,54,3,1,無,1200,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023142.htm?v=1.0,https://www.unews.com.tw/School/Department/13/439
國文學系,國立彰化師範大學國文學系(023152),29,不要求,87,6,無,無,1200,112.05.27至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023152.htm?v=1.0,https://www.unews.com.tw/School/Department/13/438
地理學系,國立彰化師範大學地理學系(023162),19,不要求,57,3,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023162.htm?v=1.0,https://www.unews.com.tw/School/Department/13/442
機電工程學系,國立彰化師範大學機電工程學系(023172),21,不要求,63,4,無,無,1000,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023172.htm?v=1.0,https://www.unews.com.tw/School/Department/13/456
電機工程學系、電機,國立彰化師範大學電機工程學系(023182),12,不要求,48,3,無,無,1000,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023182.htm?v=1.0,https://www.unews.com.tw/School/Department/13/453
電子工程學系,國立彰化師範大學電子工程學系(023192),21,不要求,63,4,無,無,1000,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023192.htm?v=1.0,https://www.unews.com.tw/School/Department/13/454
資訊工程學系、資工,國立彰化師範大學資訊工程學系(023202),11,不要求,50,3,無,無,1000,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023202.htm?v=1.0,https://www.unews.com.tw/School/Department/13/455
資訊工程學系、資工、apcs,國立彰化師範大學資訊工程學系(APCS組)(023212),1,不要求,10,無,無,無,1000,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023212.htm?v=1.0,https://www.unews.com.tw/School/Department/13/455
企業管理學系、企管,國立彰化師範大學企業管理學系(023222),21,不要求,63,4,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023222.htm?v=1.0,https://www.unews.com.tw/School/Department/13/444
會計學系、會計,國立彰化師範大學會計學系(023232),31,不要求,93,8,無,無,1200,112.05.27至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023232.htm?v=1.0,https://www.unews.com.tw/School/Department/13/443
