搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,國立嘉義大學教育學系(100012),17,不要求,51,1,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100012.htm?v=1.0,https://www.unews.com.tw/School/Department/16/487
輔導與諮商學系,國立嘉義大學輔導與諮商學系(100022),22,不要求,66,2,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100022.htm?v=1.0,https://www.unews.com.tw/School/Department/16/498
輔導與諮商學系,國立嘉義大學輔導與諮商學系(公費生)(100032),1,不要求,10,無,無,無,1000,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100032.htm?v=1.0,https://www.unews.com.tw/School/Department/16/498
特殊教育學系,國立嘉義大學特殊教育學系(100042),18,不要求,54,無,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100042.htm?v=1.0,https://www.unews.com.tw/School/Department/16/489
幼兒教育學系、幼教,國立嘉義大學幼兒教育學系(100052),26,不要求,78,2,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100052.htm?v=1.0,https://www.unews.com.tw/School/Department/16/488
數位學習設計與管理學系,國立嘉義大學數位學習設計與管理學系(100062),20,不要求,60,2,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100062.htm?v=1.0,https://www.unews.com.tw/School/Department/16/490
中國文學系、中文,國立嘉義大學中國文學系(100072),21,不要求,63,2,1,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100072.htm?v=1.0,https://www.unews.com.tw/School/Department/16/493
應用歷史學系,國立嘉義大學應用歷史學系(100082),20,不要求,60,無,無,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100082.htm?v=1.0,https://www.unews.com.tw/School/Department/16/496
外國語言學系英語教學組、英文,國立嘉義大學外國語言學系英語教學組(100092),35,不要求,105,無,無,2,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100092.htm?v=1.0,https://www.unews.com.tw/School/Department/16/3518
外國語言學系英語教學組、英文,國立嘉義大學外國語言學系英語教學組(公費生)(100102),1,不要求,10,無,無,無,1000,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_100102.htm?v=1.0,https://www.unews.com.tw/School/Department/16/3518
