搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
應用數學系數學科學組、應數,國立東華大學應用數學系數學科學組(034012),16,不要求,48,1,無,無,1200,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034012.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3496
應用數學系統計科學組、應數,國立東華大學應用數學系統計科學組(034022),17,不要求,51,1,無,無,1200,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034022.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3496
物理學系物理組,國立東華大學物理學系物理組(034032),17,不要求,51,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034032.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3521
物理學系奈米與光電科學組,國立東華大學物理學系奈米與光電科學組(034042),13,不要求,46,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034042.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3521
化學系,國立東華大學化學系(034052),26,不要求,78,無,無,4,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034052.htm?v=1.0,https://www.unews.com.tw/School/Department/18/579
生命科學系、生科,國立東華大學生命科學系(034062),20,不要求,60,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034062.htm?v=1.0,https://www.unews.com.tw/School/Department/18/578
資訊工程學系資工組、資工,國立東華大學資訊工程學系資工組(034072),28,不要求,84,2,無,4,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034072.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3522
資訊工程學系資工組、資工、apcs,國立東華大學資訊工程學系資工組(APCS組)(034082),3,不要求,18,無,無,無,1000,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034082.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3522
資訊工程學系資工組、資工、資安組,國立東華大學資訊工程學系資工組(資安組)(034092),4,不要求,20,無,無,無,1000,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034092.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3522
資訊工程學系國際組、資工,國立東華大學資訊工程學系國際組(034102),12,不要求,48,1,無,無,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034102.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3522
資訊工程學系國際組、資工、資安組,國立東華大學資訊工程學系國際組(資安組)(034112),2,不要求,20,無,無,無,1000,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034112.htm?v=1.0,https://www.unews.com.tw/School/Department/18/3522
電機工程學系智慧系統組、電機,國立東華大學電機工程學系智慧系統組(034122),22,不要求,66,1,無,2,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034122.htm?v=1.0,https://www.unews.com.tw/School/Department/18/585
電機工程學系半導體工程組、電機,國立東華大學電機工程學系半導體工程組(034132),15,不要求,45,1,無,2,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034132.htm?v=1.0,https://www.unews.com.tw/School/Department/18/585
材料科學與工程學系,國立東華大學材料科學與工程學系(034142),28,不要求,84,2,無,4,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034142.htm?v=1.0,https://www.unews.com.tw/School/Department/18/589
光電工程學系,國立東華大學光電工程學系(034152),24,不要求,72,3,無,4,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034152.htm?v=1.0,https://www.unews.com.tw/School/Department/18/586
企業管理學系、企管,國立東華大學企業管理學系(034162),23,不要求,69,5,無,4,1200,112.05.23至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034162.htm?v=1.0,https://www.unews.com.tw/School/Department/18/573
會計學系、會計,國立東華大學會計學系(034172),26,不要求,78,2,無,無,1200,112.05.23至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034172.htm?v=1.0,https://www.unews.com.tw/School/Department/18/572
資訊管理學系人工智慧與大數據組、資管,國立東華大學資訊管理學系人工智慧與大數據組(034182),13,不要求,46,2,無,2,1200,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034182.htm?v=1.0,https://www.unews.com.tw/School/Department/18/584
資訊管理學系智慧商務與知識管理組、資管,國立東華大學資訊管理學系智慧商務與知識管理組(034192),13,不要求,46,1,無,2,1200,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034192.htm?v=1.0,https://www.unews.com.tw/School/Department/18/584
資訊管理學系、資管、apcs,國立東華大學資訊管理學系(APCS組)(034202),3,不要求,27,無,無,無,1200,112.05.23,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034202.htm?v=1.0,https://www.unews.com.tw/School/Department/18/584
國際企業學系、國企,國立東華大學國際企業學系(034212),24,不要求,72,3,無,4,1200,112.05.23至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034212.htm?v=1.0,https://www.unews.com.tw/School/Department/18/574
財務金融學系、財金,國立東華大學財務金融學系(034222),24,不要求,72,無,無,4,1200,112.05.23至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034222.htm?v=1.0,https://www.unews.com.tw/School/Department/18/575
觀光暨休閒遊憩學系,國立東華大學觀光暨休閒遊憩學系(034232),22,不要求,66,1,無,無,1200,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034232.htm?v=1.0,https://www.unews.com.tw/School/Department/18/591
管理學院管理科學與財金國際學士學位學程,國立東華大學管理學院管理科學與財金國際學士學位學程(034242),7,不要求,49,無,無,無,1200,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034242.htm?v=1.0,https://www.unews.com.tw/School/Department/18/576
管理學院會計與資訊管理國際學士班智慧會計與風險管理組、資管,國立東華大學管理學院會計與資訊管理國際學士班智慧會計與風險管理組(034252),5,不要求,30,無,無,無,1200,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_034252.htm?v=1.0,https://www.unews.com.tw/School/Info/18
