搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
財務金融學系、財金,南華大學財務金融學系(059012),32,不要求,96,2,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059012.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1836
企業管理學系經營管理組、企管,南華大學企業管理學系經營管理組(059022),7,不要求,49,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059022.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1834
企業管理學系數位行銷組、企管,南華大學企業管理學系數位行銷組(059032),8,不要求,48,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059032.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1834
企業管理學系創新創業組、企管,南華大學企業管理學系創新創業組(059042),7,不要求,49,無,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059042.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1834
企業管理學系服務業管理組、企管,南華大學企業管理學系服務業管理組(059052),7,不要求,49,無,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059052.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1834
文化創意事業管理學系,南華大學文化創意事業管理學系(059062),10,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059062.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1837
文化創意事業管理學系數位出版營運組,南華大學文化創意事業管理學系數位出版營運組(059072),8,不要求,48,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059072.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1837
文化創意事業管理學系藝文活動專案組,南華大學文化創意事業管理學系藝文活動專案組(059082),8,不要求,48,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059082.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1837
文化創意事業管理學系文創商品產銷組,南華大學文化創意事業管理學系文創商品產銷組(059092),8,不要求,48,無,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059092.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1837
旅遊管理學系,南華大學旅遊管理學系(059102),10,不要求,50,1,無,無,600,112.05.19至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_059102.htm?v=1.0,https://www.unews.com.tw/School/Department/68/1848
