搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
外國語文學系、外文,國立宜蘭大學外國語文學系(150012),12,不要求,48,2,無,2,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150012.htm?v=1.0,https://www.unews.com.tw/School/Department/29/803
應用經濟與管理學系,國立宜蘭大學應用經濟與管理學系(150022),26,不要求,78,2,無,3,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150022.htm?v=1.0,https://www.unews.com.tw/School/Department/29/804
休閒產業與健康促進學系,國立宜蘭大學休閒產業與健康促進學系(150032),19,不要求,57,2,無,無,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150032.htm?v=1.0,https://www.unews.com.tw/School/Department/29/817
土木工程學系、土木,國立宜蘭大學土木工程學系(150042),38,不要求,114,2,無,6,1000,112.05.23至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150042.htm?v=1.0,https://www.unews.com.tw/School/Department/29/810
機械與機電工程學系,國立宜蘭大學機械與機電工程學系(150052),22,不要求,66,1,無,3,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150052.htm?v=1.0,https://www.unews.com.tw/School/Department/29/808
化學工程與材料工程學系、化工,國立宜蘭大學化學工程與材料工程學系(150062),37,不要求,111,1,無,5,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150062.htm?v=1.0,https://www.unews.com.tw/School/Department/29/811
環境工程學系、環工,國立宜蘭大學環境工程學系(150072),22,不要求,66,1,無,3,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150072.htm?v=1.0,https://www.unews.com.tw/School/Department/29/812
生物機電工程學系,國立宜蘭大學生物機電工程學系(150082),17,不要求,51,1,無,2,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150082.htm?v=1.0,https://www.unews.com.tw/School/Department/29/809
食品科學系,國立宜蘭大學食品科學系(150092),25,不要求,75,2,無,3,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150092.htm?v=1.0,https://www.unews.com.tw/School/Department/29/815
生物技術與動物科學系、動科,國立宜蘭大學生物技術與動物科學系(150102),30,不要求,90,3,無,3,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150102.htm?v=1.0,https://www.unews.com.tw/School/Department/29/813
森林暨自然資源學系,國立宜蘭大學森林暨自然資源學系(150112),15,不要求,45,2,無,3,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150112.htm?v=1.0,https://www.unews.com.tw/School/Department/29/816
園藝學系,國立宜蘭大學園藝學系(150122),13,不要求,46,1,無,3,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150122.htm?v=1.0,https://www.unews.com.tw/School/Department/29/814
電機工程學系、電機,國立宜蘭大學電機工程學系(150132),48,不要求,144,4,無,3,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150132.htm?v=1.0,https://www.unews.com.tw/School/Department/29/805
電子工程學系,國立宜蘭大學電子工程學系(150142),49,不要求,147,4,無,2,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150142.htm?v=1.0,https://www.unews.com.tw/School/Department/29/806
資訊工程學系、資工,國立宜蘭大學資訊工程學系(150152),14,不要求,49,2,無,4,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150152.htm?v=1.0,https://www.unews.com.tw/School/Department/29/807
資訊工程學系、資工、apcs,國立宜蘭大學資訊工程學系(APCS組)(150162),3,不要求,15,無,無,無,1000,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_150162.htm?v=1.0,https://www.unews.com.tw/School/Department/29/807
