搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
國文學系,國立高雄師範大學國文學系(022012),35,不要求,105,2,2,無,1500,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022012.htm?v=1.0,https://www.unews.com.tw/School/Department/12/412
英語學系、英文,國立高雄師範大學英語學系(022022),29,不要求,87,無,無,無,1300,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022022.htm?v=1.0,https://www.unews.com.tw/School/Department/12/419
地理學系,國立高雄師範大學地理學系(022032),16,不要求,48,2,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022032.htm?v=1.0,https://www.unews.com.tw/School/Department/12/422
數學系數學組,國立高雄師範大學數學系數學組(022042),18,不要求,54,2,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022042.htm?v=1.0,https://www.unews.com.tw/School/Department/12/3463
數學系應用數學組、應數,國立高雄師範大學數學系應用數學組(022052),16,不要求,48,2,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022052.htm?v=1.0,https://www.unews.com.tw/School/Department/12/3463
化學系,國立高雄師範大學化學系(022062),21,不要求,63,2,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022062.htm?v=1.0,https://www.unews.com.tw/School/Department/12/425
物理學系,國立高雄師範大學物理學系(022072),19,不要求,57,1,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022072.htm?v=1.0,https://www.unews.com.tw/School/Department/12/426
生物科技系,國立高雄師範大學生物科技系(022082),19,不要求,57,2,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022082.htm?v=1.0,https://www.unews.com.tw/School/Department/12/424
教育學系,國立高雄師範大學教育學系(022092),14,不要求,49,1,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022092.htm?v=1.0,https://www.unews.com.tw/School/Department/12/413
特殊教育學系,國立高雄師範大學特殊教育學系(022102),17,不要求,51,2,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022102.htm?v=1.0,https://www.unews.com.tw/School/Department/12/416
事業經營學系,國立高雄師範大學事業經營學系(022112),14,不要求,49,1,無,無,1000,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022112.htm?v=1.0,https://www.unews.com.tw/School/Department/12/423
工業科技教育學系科技教育與訓練組,國立高雄師範大學工業科技教育學系科技教育與訓練組(022122),9,不要求,45,1,無,無,750,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022122.htm?v=1.0,https://www.unews.com.tw/School/Department/12/414
工業科技教育學系能源與冷凍空調組,國立高雄師範大學工業科技教育學系能源與冷凍空調組(022132),7,不要求,42,1,無,無,750,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022132.htm?v=1.0,https://www.unews.com.tw/School/Department/12/414
工業設計學系,國立高雄師範大學工業設計學系(022142),15,不要求,45,2,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022142.htm?v=1.0,https://www.unews.com.tw/School/Department/12/421
電機工程學系、電機,國立高雄師範大學電機工程學系(022152),18,不要求,54,2,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022152.htm?v=1.0,https://www.unews.com.tw/School/Info/12
電子工程學系,國立高雄師範大學電子工程學系(022162),21,不要求,63,1,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022162.htm?v=1.0,https://www.unews.com.tw/School/Department/12/430
軟體工程與管理學系,國立高雄師範大學軟體工程與管理學系(022172),11,不要求,50,1,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022172.htm?v=1.0,https://www.unews.com.tw/School/Department/12/429
軟體工程與管理學系、apcs,國立高雄師範大學軟體工程與管理學系(APCS組)(022182),3,不要求,15,無,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022182.htm?v=1.0,https://www.unews.com.tw/School/Department/12/429
軟體工程與管理學系、資安組,國立高雄師範大學軟體工程與管理學系(資安組)(022192),3,不要求,15,無,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022192.htm?v=1.0,https://www.unews.com.tw/School/Department/12/429
音樂學系,國立高雄師範大學音樂學系(022202),27,不要求,405,1,無,無,0,--,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022202.htm?v=1.0,https://www.unews.com.tw/School/Department/12/418
美術學系,國立高雄師範大學美術學系(022212),17,不要求,85,1,1,無,1200,112.05.22,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022212.htm?v=1.0,https://www.unews.com.tw/School/Department/12/417
視覺設計學系,國立高雄師範大學視覺設計學系(022222),15,不要求,90,1,無,無,700,--,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022222.htm?v=1.0,https://www.unews.com.tw/School/Department/12/420
體育學系,國立高雄師範大學體育學系(022232),9,不要求,50,1,1,無,1300,112.05.22,體育,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_022232.htm?v=1.0,https://www.unews.com.tw/School/Department/12/415
