搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,國立屏東大學教育學系(036012),40,不要求,120,8,無,無,900,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036012.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1070
幼兒教育學系、幼教,國立屏東大學幼兒教育學系(036022),38,不要求,114,3,無,無,900,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036022.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1073
特殊教育學系,國立屏東大學特殊教育學系(036032),32,不要求,96,2,無,無,900,112.05.18至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036032.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1074
教育心理與輔導學系,國立屏東大學教育心理與輔導學系(036042),16,不要求,48,2,無,無,900,112.05.18至112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036042.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1071
中國語文學系,國立屏東大學中國語文學系(036052),25,不要求,75,2,無,無,900,112.05.18至112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036052.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1078
文化創意產業學系,國立屏東大學文化創意產業學系(036062),21,不要求,63,2,無,無,900,112.05.18至112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036062.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1082
社會發展學系,國立屏東大學社會發展學系(036072),21,不要求,63,2,1,無,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036072.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1083
英語學系、英文,國立屏東大學英語學系(036082),15,不要求,45,2,無,無,900,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036082.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1079
應用英語學系、英文,國立屏東大學應用英語學系(036092),2,不要求,50,4,無,無,500,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036092.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1080
應用日語學系、日文,國立屏東大學應用日語學系(036102),7,不要求,49,3,無,無,500,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036102.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1081
視覺藝術學系數位媒體設計組,國立屏東大學視覺藝術學系數位媒體設計組(036112),7,不要求,49,1,無,無,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036112.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1077
商業自動化與管理學系,國立屏東大學商業自動化與管理學系(036122),10,不要求,50,2,無,11,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036122.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1086
行銷與流通管理學系,國立屏東大學行銷與流通管理學系(036132),10,不要求,50,2,無,10,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036132.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1089
休閒事業經營學系,國立屏東大學休閒事業經營學系(036142),8,不要求,48,無,無,無,500,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036142.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1099
不動產經營學系,國立屏東大學不動產經營學系(036152),11,不要求,50,3,無,無,500,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036152.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1090
企業管理學系、企管,國立屏東大學企業管理學系(036162),12,不要求,48,2,無,12,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036162.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1085
國際經營與貿易學系,國立屏東大學國際經營與貿易學系(036172),12,不要求,48,4,無,無,500,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036172.htm?v=1.0,https://www.unews.com.tw/School/Info/47
財務金融學系、財金,國立屏東大學財務金融學系(036182),17,不要求,51,4,無,12,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036182.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1088
會計學系、會計,國立屏東大學會計學系(036192),37,不要求,111,9,無,無,500,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036192.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1084
大數據商務應用學士學位學程,國立屏東大學大數據商務應用學士學位學程(036202),26,不要求,78,2,無,無,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036202.htm?v=1.0,https://www.unews.com.tw/School/Department/47/3753
應用化學系,國立屏東大學應用化學系(036212),28,不要求,84,無,無,2,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036212.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1091
應用數學系、應數,國立屏東大學應用數學系(036222),26,不要求,78,1,無,無,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036222.htm?v=1.0,https://www.unews.com.tw/School/Department/47/1094
應用物理系半導體組,國立屏東大學應用物理系半導體組(036232),15,不要求,45,2,無,無,500,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_036232.htm?v=1.0,https://www.unews.com.tw/School/Info/47
