搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
應用英語學系、英文,國立金門大學應用英語學系(153012),20,不要求,60,3,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153012.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1015
應用英語學系、英文,國立金門大學應用英語學系(願景組)(153022),4,不要求,48,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153022.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1015
運動與休閒學系,國立金門大學運動與休閒學系(153032),20,不要求,60,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153032.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1030
企業管理學系、企管,國立金門大學企業管理學系(153042),25,不要求,75,4,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153042.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1017
企業管理學系、企管,國立金門大學企業管理學系(願景組)(153052),3,不要求,48,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153052.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1017
電機工程學系、電機,國立金門大學電機工程學系(153062),26,不要求,78,4,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153062.htm?v=1.0,https://www.unews.com.tw/School/Info/43
電機工程學系、電機,國立金門大學電機工程學系(願景組)(153072),9,不要求,45,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153072.htm?v=1.0,https://www.unews.com.tw/School/Info/43
食品科學系,國立金門大學食品科學系(153082),23,不要求,69,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153082.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1025
食品科學系,國立金門大學食品科學系(願景組)(153092),8,不要求,48,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153092.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1025
土木與工程管理學系,國立金門大學土木與工程管理學系(153102),15,不要求,45,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153102.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1021
土木與工程管理學系,國立金門大學土木與工程管理學系(願景組)(153112),6,不要求,48,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153112.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1021
觀光管理學系,國立金門大學觀光管理學系(153122),21,不要求,63,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_153122.htm?v=1.0,https://www.unews.com.tw/School/Department/43/1029
