搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,國立中山大學中國文學系(027012),15,不要求,45,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027012.htm?v=1.0,https://www.unews.com.tw/School/Department/9/337
外國語文學系、外文,國立中山大學外國語文學系(027022),25,不要求,75,1,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027022.htm?v=1.0,https://www.unews.com.tw/School/Department/9/338
劇場藝術學系,國立中山大學劇場藝術學系(027032),34,男17女17,204,1,無,無,1500,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027032.htm?v=1.0,https://www.unews.com.tw/School/Department/9/336
生物科學系,國立中山大學生物科學系(027042),10,不要求,30,2,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027042.htm?v=1.0,https://www.unews.com.tw/School/Department/9/343
生物科學系英語組、英文,國立中山大學生物科學系英語組(027052),13,不要求,39,無,無,無,1200,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027052.htm?v=1.0,https://www.unews.com.tw/School/Department/9/343
化學系,國立中山大學化學系(027062),10,不要求,50,1,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027062.htm?v=1.0,https://www.unews.com.tw/School/Department/9/344
化學系英語組、英文,國立中山大學化學系英語組(027072),10,不要求,50,無,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027072.htm?v=1.0,https://www.unews.com.tw/School/Department/9/344
物理學系,國立中山大學物理學系(027082),11,不要求,44,1,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027082.htm?v=1.0,https://www.unews.com.tw/School/Department/9/345
物理學系量子科技組,國立中山大學物理學系量子科技組(全英)(027092),11,不要求,44,1,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027092.htm?v=1.0,https://www.unews.com.tw/School/Department/9/345
應用數學系、應數,國立中山大學應用數學系(027102),17,不要求,51,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027102.htm?v=1.0,https://www.unews.com.tw/School/Department/9/348
應用數學系英語組、英文,國立中山大學應用數學系英語組(027112),16,不要求,48,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027112.htm?v=1.0,https://www.unews.com.tw/School/Department/9/348
電機工程學系、電機,國立中山大學電機工程學系(027122),29,不要求,87,1,1,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_027122.htm?v=1.0,https://www.unews.com.tw/School/Department/9/350
