搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,國立臺中教育大學教育學系(031012),23,不要求,69,1,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031012.htm?v=1.0,https://www.unews.com.tw/School/Department/37/936
特殊教育學系,國立臺中教育大學特殊教育學系(031022),22,不要求,66,1,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031022.htm?v=1.0,https://www.unews.com.tw/School/Department/37/944
幼兒教育學系、幼教,國立臺中教育大學幼兒教育學系(031032),24,不要求,72,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031032.htm?v=1.0,https://www.unews.com.tw/School/Department/37/943
體育學系非運動專長組,國立臺中教育大學體育學系非運動專長組(031042),7,不要求,42,無,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031042.htm?v=1.0,https://www.unews.com.tw/School/Department/37/940
語文教育學系,國立臺中教育大學語文教育學系(031052),6,不要求,36,無,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031052.htm?v=1.0,https://www.unews.com.tw/School/Department/37/937
區域與社會發展學系,國立臺中教育大學區域與社會發展學系(031062),14,不要求,42,1,無,無,1200,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031062.htm?v=1.0,https://www.unews.com.tw/School/Department/37/951
諮商與應用心理學系,國立臺中教育大學諮商與應用心理學系(031072),20,不要求,60,1,無,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031072.htm?v=1.0,https://www.unews.com.tw/School/Department/37/950
臺灣語文學系,國立臺中教育大學臺灣語文學系(031082),21,不要求,63,1,1,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031082.htm?v=1.0,https://www.unews.com.tw/School/Department/37/947
英語學系、英文,國立臺中教育大學英語學系(031092),17,不要求,51,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031092.htm?v=1.0,https://www.unews.com.tw/School/Department/37/948
英語學系、英文,國立臺中教育大學英語學系(公費生)(031102),1,不要求,12,無,無,無,1200,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031102.htm?v=1.0,https://www.unews.com.tw/School/Department/37/948
數學教育學系,國立臺中教育大學數學教育學系(031112),11,不要求,44,2,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031112.htm?v=1.0,https://www.unews.com.tw/School/Department/37/939
科學教育與應用學系,國立臺中教育大學科學教育與應用學系(031122),23,不要求,69,1,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031122.htm?v=1.0,https://www.unews.com.tw/School/Department/37/938
資訊工程學系、資工,國立臺中教育大學資訊工程學系(031132),27,不要求,81,無,無,無,900,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_031132.htm?v=1.0,https://www.unews.com.tw/School/Department/37/954
