搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系甲組、中文,國立清華大學中國文學系甲組(一般組)(011012),18,不要求,54,無,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011012.htm?v=1.0,https://www.unews.com.tw/School/Department/2/50
中國文學系乙組、中文,國立清華大學中國文學系乙組(華語文教學組)(011022),7,不要求,21,無,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011022.htm?v=1.0,https://www.unews.com.tw/School/Department/2/50
外國語文學系、外文,國立清華大學外國語文學系(011032),25,不要求,75,1,無,無,1100,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011032.htm?v=1.0,https://www.unews.com.tw/School/Department/2/51
人文社會學院學士班、人社,國立清華大學人文社會學院學士班(011042),50,不要求,150,無,無,無,1100,112.05.26至112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011042.htm?v=1.0,https://www.unews.com.tw/School/Department/2/52
教育與學習科技學系,國立清華大學教育與學習科技學系(011052),25,不要求,75,1,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011052.htm?v=1.0,https://www.unews.com.tw/School/Department/2/42
幼兒教育學系、幼教,國立清華大學幼兒教育學系(011062),25,不要求,75,1,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011062.htm?v=1.0,https://www.unews.com.tw/School/Department/2/45
教育心理與諮商學系,國立清華大學教育心理與諮商學系(011072),14,不要求,49,1,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011072.htm?v=1.0,https://www.unews.com.tw/School/Department/2/41
特殊教育學系,國立清華大學特殊教育學系(011082),20,不要求,60,1,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011082.htm?v=1.0,https://www.unews.com.tw/School/Department/2/46
英語教學系、英文,國立清華大學英語教學系(011092),23,不要求,69,無,無,無,1100,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011092.htm?v=1.0,https://www.unews.com.tw/School/Department/2/43
英語教學系、英文,國立清華大學英語教學系(公費生)(011102),1,不要求,6,無,無,無,1100,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011102.htm?v=1.0,https://www.unews.com.tw/School/Department/2/43
竹師教育學院學士班甲組,國立清華大學竹師教育學院學士班甲組(雙專長組)(011112),16,不要求,48,無,無,無,1100,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011112.htm?v=1.0,https://www.unews.com.tw/School/Department/2/83
竹師教育學院學士班乙組,國立清華大學竹師教育學院學士班乙組(永續發展教育組)(011122),16,不要求,48,2,無,無,1100,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011122.htm?v=1.0,https://www.unews.com.tw/School/Department/2/83
經濟學系,國立清華大學經濟學系(011132),45,不要求,135,無,無,無,1100,112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011132.htm?v=1.0,https://www.unews.com.tw/School/Department/2/38
科技管理學院學士班、科管、資管,國立清華大學科技管理學院學士班(011142),22,不要求,66,1,無,無,1100,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011142.htm?v=1.0,https://www.unews.com.tw/School/Department/2/61
計量財務金融學系、財金,國立清華大學計量財務金融學系(011152),30,不要求,90,無,無,無,1100,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011152.htm?v=1.0,https://www.unews.com.tw/School/Department/2/39
數學系甲組,國立清華大學數學系甲組(數學組)(011162),17,不要求,51,無,無,無,1100,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011162.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3402
數學系乙組、應數,國立清華大學數學系乙組(應用數學組)(011172),19,不要求,57,無,1,無,1100,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011172.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3402
物理學系物理組,國立清華大學物理學系物理組(甲組一般組)(011182),25,不要求,75,1,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011182.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3500
物理學系物理組,國立清華大學物理學系物理組(乙組天文物理組)(011192),5,不要求,20,無,無,無,1100,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011192.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3500
物理學系光電物理組,國立清華大學物理學系光電物理組(011202),10,不要求,40,1,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011202.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3500
化學系,國立清華大學化學系(011212),29,不要求,87,無,無,無,1100,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011212.htm?v=1.0,https://www.unews.com.tw/School/Department/2/58
理學院學士班,國立清華大學理學院學士班(011222),22,不要求,66,無,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011222.htm?v=1.0,https://www.unews.com.tw/School/Department/2/61
生醫工程與環境科學系、環工,國立清華大學生醫工程與環境科學系(011232),25,不要求,75,無,無,無,1100,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011232.htm?v=1.0,https://www.unews.com.tw/School/Department/2/75
工程與系統科學系甲組,國立清華大學工程與系統科學系甲組(低碳綠能組)(011242),36,不要求,108,1,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011242.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3461
工程與系統科學系乙組,國立清華大學工程與系統科學系乙組(智慧奈米系統組)(011252),42,不要求,126,1,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011252.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3461
原子科學院學士班,國立清華大學原子科學院學士班(011262),16,不要求,48,無,無,無,1100,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011262.htm?v=1.0,https://www.unews.com.tw/School/Department/2/78
化學工程學系、化工,國立清華大學化學工程學系(011272),33,不要求,99,1,無,無,1100,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011272.htm?v=1.0,https://www.unews.com.tw/School/Department/2/72
動力機械工程學系、機械,國立清華大學動力機械工程學系(011282),72,不要求,216,1,無,無,1100,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011282.htm?v=1.0,https://www.unews.com.tw/School/Department/2/71
材料科學工程學系,國立清華大學材料科學工程學系(011292),60,不要求,180,無,無,無,1100,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011292.htm?v=1.0,https://www.unews.com.tw/School/Department/2/73
工業工程與工程管理學系、工工,國立清華大學工業工程與工程管理學系(011302),43,不要求,129,1,無,無,1100,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011302.htm?v=1.0,https://www.unews.com.tw/School/Department/2/74
工學院學士班,國立清華大學工學院學士班(011312),36,不要求,108,1,無,無,1100,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011312.htm?v=1.0,https://www.unews.com.tw/School/Department/2/79
電機工程學系甲組、電機,國立清華大學電機工程學系甲組(011322),5,不要求,50,無,無,無,1100,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011322.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3501
電機工程學系乙組、電機,國立清華大學電機工程學系乙組(011332),52,不要求,156,無,無,無,1100,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_011332.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3501
