搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,國立臺灣師範大學教育學系(002012),26,不要求,65,2,1,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002012.htm?v=1.0,https://www.unews.com.tw/School/Department/4/147
教育心理與輔導學系,國立臺灣師範大學教育心理與輔導學系(002022),16,不要求,48,無,2,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002022.htm?v=1.0,https://www.unews.com.tw/School/Department/4/148
社會教育學系,國立臺灣師範大學社會教育學系(002032),23,不要求,69,1,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002032.htm?v=1.0,https://www.unews.com.tw/School/Department/4/153
社會教育學系,國立臺灣師範大學社會教育學系(青年儲蓄帳戶組)(002042),1,不要求,50,無,無,無,1200,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002042.htm?v=1.0,https://www.unews.com.tw/School/Department/4/153
健康促進與衛生教育學系,國立臺灣師範大學健康促進與衛生教育學系(002052),18,不要求,45,1,無,無,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002052.htm?v=1.0,https://www.unews.com.tw/School/Department/4/158
幼兒與家庭科學學系家庭生活與教育組,國立臺灣師範大學幼兒與家庭科學學系家庭生活與教育組(002062),14,不要求,42,2,無,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002062.htm?v=1.0,https://www.unews.com.tw/School/Info/4
幼兒與家庭科學學系幼兒發展與教育組,國立臺灣師範大學幼兒與家庭科學學系幼兒發展與教育組(002072),14,不要求,42,3,無,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002072.htm?v=1.0,https://www.unews.com.tw/School/Info/4
幼兒與家庭科學學系幼兒發展與教育組,國立臺灣師範大學幼兒與家庭科學學系幼兒發展與教育組(青年儲蓄帳戶組)(002082),1,不要求,50,無,無,無,600,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002082.htm?v=1.0,https://www.unews.com.tw/School/Info/4
公民教育與活動領導學系,國立臺灣師範大學公民教育與活動領導學系(002092),27,不要求,81,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002092.htm?v=1.0,https://www.unews.com.tw/School/Department/4/149
公民教育與活動領導學系,國立臺灣師範大學公民教育與活動領導學系(公費生)(002102),1,不要求,6,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002102.htm?v=1.0,https://www.unews.com.tw/School/Department/4/149
特殊教育學系,國立臺灣師範大學特殊教育學系(002112),15,不要求,45,2,無,無,1000,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002112.htm?v=1.0,https://www.unews.com.tw/School/Department/4/159
學習科學學士學位學程,國立臺灣師範大學學習科學學士學位學程(002122),5,不要求,20,無,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002122.htm?v=1.0,https://www.unews.com.tw/School/Department/4/187
教育學院學士班,國立臺灣師範大學教育學院學士班(002132),8,不要求,32,1,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002132.htm?v=1.0,https://www.unews.com.tw/School/Department/4/3422
教育學院學士班,國立臺灣師範大學教育學院學士班(青年儲蓄帳戶組)(002142),1,不要求,50,無,無,無,1200,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002142.htm?v=1.0,https://www.unews.com.tw/School/Department/4/3422
國文學系,國立臺灣師範大學國文學系(002152),38,不要求,76,無,2,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002152.htm?v=1.0,https://www.unews.com.tw/School/Department/4/165
英語學系、英文,國立臺灣師範大學英語學系(002162),40,不要求,120,無,1,無,1200,112.05.22至112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002162.htm?v=1.0,https://www.unews.com.tw/School/Department/4/167
歷史學系,國立臺灣師範大學歷史學系(002172),25,不要求,75,無,1,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002172.htm?v=1.0,https://www.unews.com.tw/School/Department/4/168
地理學系,國立臺灣師範大學地理學系(002182),35,不要求,105,3,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002182.htm?v=1.0,https://www.unews.com.tw/School/Department/4/172
臺灣語文學系,國立臺灣師範大學臺灣語文學系(002192),8,不要求,32,1,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002192.htm?v=1.0,https://www.unews.com.tw/School/Department/4/164
數學系,國立臺灣師範大學數學系(002202),44,不要求,132,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002202.htm?v=1.0,https://www.unews.com.tw/School/Department/4/182
物理學系,國立臺灣師範大學物理學系(002212),36,不要求,108,2,無,無,1000,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002212.htm?v=1.0,https://www.unews.com.tw/School/Department/4/181
物理學系,國立臺灣師範大學物理學系(公費生)(002222),1,不要求,3,無,無,無,1000,112.05.18,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002222.htm?v=1.0,https://www.unews.com.tw/School/Department/4/181
化學系,國立臺灣師範大學化學系(002232),37,不要求,111,無,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_002232.htm?v=1.0,https://www.unews.com.tw/School/Department/4/179
