搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
商船學系,國立臺灣海洋大學商船學系(021012),57,不要求,171,5,無,3,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021012.htm?v=1.0,https://www.unews.com.tw/School/Department/10/377
航運管理學系,國立臺灣海洋大學航運管理學系(021022),49,不要求,147,6,1,3,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021022.htm?v=1.0,https://www.unews.com.tw/School/Department/10/373
運輸科學系A組,國立臺灣海洋大學運輸科學系A組(021032),24,不要求,72,3,無,1,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021032.htm?v=1.0,https://www.unews.com.tw/School/Department/10/374
運輸科學系B組,國立臺灣海洋大學運輸科學系B組(021042),24,不要求,72,2,無,1,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021042.htm?v=1.0,https://www.unews.com.tw/School/Department/10/374
輪機工程學系,國立臺灣海洋大學輪機工程學系(021052),39,不要求,117,6,無,2,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021052.htm?v=1.0,https://www.unews.com.tw/School/Department/10/3511
海洋觀光管理學士學位學程,國立臺灣海洋大學海洋觀光管理學士學位學程(021062),15,不要求,45,2,無,無,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021062.htm?v=1.0,https://www.unews.com.tw/School/Department/10/356
海洋觀光管理學士學位學程,國立臺灣海洋大學海洋觀光管理學士學位學程(青年儲蓄帳戶組)(021072),1,不要求,50,無,無,無,700,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021072.htm?v=1.0,https://www.unews.com.tw/School/Department/10/356
海洋經營管理學士學位學程,國立臺灣海洋大學海洋經營管理學士學位學程(021082),12,不要求,48,2,無,1,1100,112.05.22至112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021082.htm?v=1.0,https://www.unews.com.tw/School/Department/10/379
食品科學系,國立臺灣海洋大學食品科學系(021092),42,不要求,126,4,無,3,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021092.htm?v=1.0,https://www.unews.com.tw/School/Department/10/3398
水產養殖學系,國立臺灣海洋大學水產養殖學系(021102),40,不要求,120,5,無,3,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021102.htm?v=1.0,https://www.unews.com.tw/School/Department/10/372
生命科學暨生物科技學系、生科,國立臺灣海洋大學生命科學暨生物科技學系(021112),19,不要求,57,3,無,1,1100,112.05.22至112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021112.htm?v=1.0,https://www.unews.com.tw/School/Department/10/358
海洋生物科技學士學位學程,國立臺灣海洋大學海洋生物科技學士學位學程(021122),15,不要求,45,2,無,1,1100,112.05.22至112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021122.htm?v=1.0,https://www.unews.com.tw/School/Department/10/380
環境生物與漁業科學學系,國立臺灣海洋大學環境生物與漁業科學學系(021132),17,不要求,51,2,無,1,1100,112.05.22至112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021132.htm?v=1.0,https://www.unews.com.tw/School/Department/10/371
海洋環境資訊系,國立臺灣海洋大學海洋環境資訊系(021142),29,不要求,87,3,無,1,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021142.htm?v=1.0,https://www.unews.com.tw/School/Department/10/359
機械與機電工程學系,國立臺灣海洋大學機械與機電工程學系(021152),44,不要求,132,6,無,4,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021152.htm?v=1.0,https://www.unews.com.tw/School/Department/10/367
系統工程暨造船學系,國立臺灣海洋大學系統工程暨造船學系(021162),29,不要求,87,3,無,1,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021162.htm?v=1.0,https://www.unews.com.tw/School/Department/10/364
河海工程學系,國立臺灣海洋大學河海工程學系(021172),51,不要求,153,6,無,4,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021172.htm?v=1.0,https://www.unews.com.tw/School/Department/10/368
河海工程學系,國立臺灣海洋大學河海工程學系(青年儲蓄帳戶組)(021182),1,不要求,50,無,無,無,700,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021182.htm?v=1.0,https://www.unews.com.tw/School/Department/10/368
海洋工程科技學士學位學程,國立臺灣海洋大學海洋工程科技學士學位學程(021192),14,不要求,49,2,無,1,700,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021192.htm?v=1.0,https://www.unews.com.tw/School/Department/10/381
海洋工程科技學士學位學程,國立臺灣海洋大學海洋工程科技學士學位學程(青年儲蓄帳戶組)(021202),1,不要求,50,無,無,無,700,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021202.htm?v=1.0,https://www.unews.com.tw/School/Department/10/381
電機工程學系、電機,國立臺灣海洋大學電機工程學系(021212),45,不要求,135,6,無,3,1100,112.05.22至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021212.htm?v=1.0,https://www.unews.com.tw/School/Department/10/360
電機工程學系、電機,國立臺灣海洋大學電機工程學系(青年儲蓄帳戶組)(021222),1,不要求,50,無,無,無,1100,112.05.22、112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021222.htm?v=1.0,https://www.unews.com.tw/School/Department/10/360
資訊工程學系、資工,國立臺灣海洋大學資訊工程學系(021232),45,不要求,135,6,無,3,1100,112.05.22至112.05.24,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021232.htm?v=1.0,https://www.unews.com.tw/School/Department/10/362
資訊工程學系、資工、apcs,國立臺灣海洋大學資訊工程學系(APCS組)(021242),3,不要求,18,無,無,無,1100,112.05.22至112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021242.htm?v=1.0,https://www.unews.com.tw/School/Department/10/362
資訊工程學系、資工,國立臺灣海洋大學資訊工程學系(青年儲蓄帳戶組)(021252),1,不要求,50,無,無,無,1100,112.05.22至112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_021252.htm?v=1.0,https://www.unews.com.tw/School/Department/10/362
