搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
法律學系法學組,國立臺北大學法律學系法學組(099012),26,不要求,65,2,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099012.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517
法律學系法學組,國立臺北大學法律學系法學組(飛鳶組)(099022),1,不要求,3,無,無,無,1200,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099022.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517
法律學系司法組,國立臺北大學法律學系司法組(099032),26,不要求,65,2,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099032.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517
法律學系司法組,國立臺北大學法律學系司法組(飛鳶組)(099042),1,不要求,3,無,無,無,1200,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099042.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517
法律學系財經法組,國立臺北大學法律學系財經法組(099052),26,不要求,65,2,無,無,1200,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099052.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517
法律學系財經法組,國立臺北大學法律學系財經法組(飛鳶組)(099062),1,不要求,3,無,無,無,1200,112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099062.htm?v=1.0,https://www.unews.com.tw/School/Department/15/3517
企業管理學系、企管,國立臺北大學企業管理學系(099072),57,不要求,171,6,1,無,1200,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099072.htm?v=1.0,https://www.unews.com.tw/School/Department/15/474
企業管理學系、企管,國立臺北大學企業管理學系(飛鳶組)(099082),2,不要求,10,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099082.htm?v=1.0,https://www.unews.com.tw/School/Department/15/474
金融與合作經營學系,國立臺北大學金融與合作經營學系(099092),28,不要求,84,3,無,無,1200,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099092.htm?v=1.0,https://www.unews.com.tw/School/Department/15/475
金融與合作經營學系,國立臺北大學金融與合作經營學系(飛鳶組)(099102),2,不要求,12,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_099102.htm?v=1.0,https://www.unews.com.tw/School/Department/15/475
