搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
全校不分系學士學位學程,國立臺東大學全校不分系學士學位學程(038012),11,不要求,50,2,無,3,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038012.htm?v=1.0,https://www.unews.com.tw/School/Department/28/3754
教育學系,國立臺東大學教育學系(038022),31,不要求,93,5,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038022.htm?v=1.0,https://www.unews.com.tw/School/Department/28/781
幼兒教育學系、幼教,國立臺東大學幼兒教育學系(038032),29,不要求,87,2,無,6,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038032.htm?v=1.0,https://www.unews.com.tw/School/Department/28/783
特殊教育學系,國立臺東大學特殊教育學系(038042),30,不要求,90,2,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038042.htm?v=1.0,https://www.unews.com.tw/School/Department/28/786
文化資源與休閒產業學系,國立臺東大學文化資源與休閒產業學系(038052),30,不要求,90,5,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038052.htm?v=1.0,https://www.unews.com.tw/School/Department/28/799
數位媒體與文教產業學系,國立臺東大學數位媒體與文教產業學系(038062),28,不要求,84,4,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038062.htm?v=1.0,https://www.unews.com.tw/School/Department/28/787
公共與文化事務學系,國立臺東大學公共與文化事務學系(038072),27,不要求,81,4,無,8,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038072.htm?v=1.0,https://www.unews.com.tw/School/Department/28/792
身心整合與運動休閒產業學系,國立臺東大學身心整合與運動休閒產業學系(038082),21,不要求,63,2,無,5,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038082.htm?v=1.0,https://www.unews.com.tw/School/Department/28/801
英美語文學系,國立臺東大學英美語文學系(038092),27,不要求,81,2,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038092.htm?v=1.0,https://www.unews.com.tw/School/Department/28/791
華語文學系,國立臺東大學華語文學系(038102),28,不要求,84,3,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038102.htm?v=1.0,https://www.unews.com.tw/School/Department/28/790
生命科學系、生科,國立臺東大學生命科學系(038112),29,不要求,87,2,無,4,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038112.htm?v=1.0,https://www.unews.com.tw/School/Department/28/793
資訊工程學系、資工,國立臺東大學資訊工程學系(038122),50,不要求,150,4,無,無,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038122.htm?v=1.0,https://www.unews.com.tw/School/Department/28/798
資訊管理學系、資管,國立臺東大學資訊管理學系(038132),24,不要求,72,3,無,5,1000,112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_038132.htm?v=1.0,https://www.unews.com.tw/School/Department/28/797
