搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中文系、中國文學系,國立臺灣大學中國文學系(001012),21,不要求,63,無,無,無,1500,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001012.htm?v=1.0,https://www.unews.com.tw/School/Department/3/87
外文系、外國語文學系、英文系、外語系,國立臺灣大學外國語文學系(001022),47,不要求,118,無,1,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001022.htm?v=1.0,https://www.unews.com.tw/School/Department/3/88
歷史學系、歷史系,國立臺灣大學歷史學系(001032),23,不要求,69,無,無,無,1500,112.05.18,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001032.htm?v=1.0,https://www.unews.com.tw/School/Department/3/90
哲學系,國立臺灣大學哲學系(001042),20,不要求,60,無,無,無,1500,112.05.27至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001042.htm?v=1.0,https://www.unews.com.tw/School/Department/3/92
人類學系,國立臺灣大學人類學系(001052),12,不要求,30,2,無,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001052.htm?v=1.0,https://www.unews.com.tw/School/Department/3/91
圖資系、圖書資訊系,國立臺灣大學圖書資訊學系(001062),23,不要求,69,無,1,無,1500,112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001062.htm?v=1.0,https://www.unews.com.tw/School/Department/3/101
日本語文學系、日文系、日語系,國立臺灣大學日本語文學系(001072),24,不要求,72,無,無,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001072.htm?v=1.0,https://www.unews.com.tw/School/Department/3/89
戲劇學系、戲劇系,國立臺灣大學戲劇學系(001082),14,男7女7,50,3,無,無,1500,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001082.htm?v=1.0,https://www.unews.com.tw/School/Department/3/86
數學系,國立臺灣大學數學系(001092),13,不要求,39,無,無,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001092.htm?v=1.0,https://www.unews.com.tw/School/Department/3/117
物理學系、物理系,國立臺灣大學物理學系(001102),27,不要求,81,無,無,無,1500,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001102.htm?v=1.0,https://www.unews.com.tw/School/Department/3/115
化學系,國立臺灣大學化學系(001112),27,不要求,81,1,無,無,1500,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001112.htm?v=1.0,https://www.unews.com.tw/School/Department/3/113
地科系、地質系、地質科學系,國立臺灣大學地質科學系(001122),22,不要求,66,1,無,無,1500,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001122.htm?v=1.0,https://www.unews.com.tw/School/Department/3/114
心理系、心理學系,國立臺灣大學心理學系(001132),20,不要求,50,無,1,無,1500,112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001132.htm?v=1.0,https://www.unews.com.tw/School/Department/3/98
地理環境資源學系、地理系,國立臺灣大學地理環境資源學系(001142),13,不要求,39,1,無,無,1500,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001142.htm?v=1.0,https://www.unews.com.tw/School/Department/3/85
大氣系、大氣科學系,國立臺灣大學大氣科學系(001152),18,不要求,54,1,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001152.htm?v=1.0,https://www.unews.com.tw/School/Department/3/116
政治學系政治理論組、政治學系、政治系,國立臺灣大學政治學系政治理論組(001162),19,不要求,48,無,無,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001162.htm?v=1.0,https://www.unews.com.tw/School/Department/3/3502
政治學系國際關係組、政治學系、政治系,國立臺灣大學政治學系國際關係組(001172),20,不要求,50,無,無,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001172.htm?v=1.0,https://www.unews.com.tw/School/Department/3/3502
政治學系公共行政組、政治學系、政治系,國立臺灣大學政治學系公共行政組(001182),20,不要求,50,無,1,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001182.htm?v=1.0,https://www.unews.com.tw/School/Department/3/3502
經濟學系、經濟學系 A 組、經濟學系A組、經濟系,國立臺灣大學經濟學系A組(001192),26,不要求,78,無,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001192.htm?v=1.0,https://www.unews.com.tw/School/Department/3/93
經濟學系 B 組、經濟學系B組、經濟學系、經濟系,國立臺灣大學經濟學系B組(001202),20,不要求,60,無,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001202.htm?v=1.0,https://www.unews.com.tw/School/Department/3/93
經濟學系 C 組、經濟學系C組、經濟系,國立臺灣大學經濟學系C組(001212),14,不要求,49,無,無,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001212.htm?v=1.0,https://www.unews.com.tw/School/Department/3/93
社會系、社會學系,國立臺灣大學社會學系(001222),19,不要求,57,1,無,無,1500,112.05.25,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001222.htm?v=1.0,https://www.unews.com.tw/School/Department/3/97
社工系、社會工作系,國立臺灣大學社會工作學系(001232),17,不要求,51,3,無,無,1500,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_001232.htm?v=1.0,https://www.unews.com.tw/School/Department/3/145
