搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
圖文傳播藝術學系,國立臺灣藝術大學圖文傳播藝術學系(056012),14,不要求,42,2,1,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056012.htm?v=1.0,https://www.unews.com.tw/School/Department/27/780
廣播電視學系,國立臺灣藝術大學廣播電視學系(056022),12,不要求,36,2,2,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056022.htm?v=1.0,https://www.unews.com.tw/School/Department/27/779
電影學系,國立臺灣藝術大學電影學系(056032),13,不要求,39,1,無,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056032.htm?v=1.0,https://www.unews.com.tw/School/Department/27/775
戲劇學系,國立臺灣藝術大學戲劇學系(056042),20,男10女10,180,2,1,無,1500,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056042.htm?v=1.0,https://www.unews.com.tw/School/Department/27/773
音樂學系,國立臺灣藝術大學音樂學系(056052),47,不要求,470,4,無,無,100,--,音樂,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056052.htm?v=1.0,https://www.unews.com.tw/School/Department/27/771
中國音樂學系作曲組,國立臺灣藝術大學中國音樂學系作曲組(056062),1,不要求,15,無,無,無,1500,112.05.19,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056062.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系聲樂組,國立臺灣藝術大學中國音樂學系聲樂組(056072),1,不要求,15,1,無,無,1500,112.05.19,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056072.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系管樂組,國立臺灣藝術大學中國音樂學系管樂組(056082),5,不要求,50,1,無,無,1500,112.05.19,音樂,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056082.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系彈弦組,國立臺灣藝術大學中國音樂學系彈弦組(056092),5,不要求,50,1,無,無,1500,112.05.19,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056092.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系撥弦組,國立臺灣藝術大學中國音樂學系撥弦組(056102),5,不要求,50,無,無,無,1500,112.05.19,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056102.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系擦弦組,國立臺灣藝術大學中國音樂學系擦弦組(一)-胡琴(056112),8,不要求,80,無,無,無,1500,112.05.19,音樂,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056112.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系擦弦組,國立臺灣藝術大學中國音樂學系擦弦組(二)-低音擦弦(056122),3,不要求,30,無,無,無,1500,112.05.19,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056122.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
中國音樂學系擊樂組,國立臺灣藝術大學中國音樂學系擊樂組(056132),2,不要求,30,無,無,無,1500,112.05.19,音樂,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056132.htm?v=1.0,https://www.unews.com.tw/School/Department/27/772
美術學系,國立臺灣藝術大學美術學系(056142),11,不要求,55,1,無,無,1500,112.05.20,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056142.htm?v=1.0,https://www.unews.com.tw/School/Department/27/767
書畫藝術學系,國立臺灣藝術大學書畫藝術學系(056152),14,不要求,49,1,無,無,1500,112.05.21,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056152.htm?v=1.0,https://www.unews.com.tw/School/Department/27/768
雕塑學系,國立臺灣藝術大學雕塑學系(056162),13,男6女7,39,1,1,無,1500,112.05.18,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056162.htm?v=1.0,https://www.unews.com.tw/School/Department/27/769
古蹟藝術修護學系,國立臺灣藝術大學古蹟藝術修護學系(056172),10,不要求,60,1,1,無,1500,112.05.20,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056172.htm?v=1.0,https://www.unews.com.tw/School/Department/27/776
亞太建築空間與文物保存學士學位學程,國立臺灣藝術大學亞太建築空間與文物保存學士學位學程(056182),10,不要求,30,1,1,無,1500,112.05.21,美術,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_056182.htm?v=1.0,https://www.unews.com.tw/School/Department/27/3764
