搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,國立臺北教育大學教育學系(032012),18,不要求,54,3,2,無,1300,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032012.htm?v=1.0,https://www.unews.com.tw/School/Department/35/900
教育學系（芝山組）,國立臺北教育大學教育學系（芝山組）(032022),2,不要求,8,無,無,無,1300,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032022.htm?v=1.0,https://www.unews.com.tw/School/Department/35/900
教育經營與管理學系,國立臺北教育大學教育經營與管理學系(032032),19,不要求,57,3,無,無,1300,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032032.htm?v=1.0,https://www.unews.com.tw/School/Department/35/908
教育經營與管理學系（芝山組）,國立臺北教育大學教育經營與管理學系（芝山組）(032042),2,不要求,10,無,無,無,1300,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032042.htm?v=1.0,https://www.unews.com.tw/School/Department/35/908
幼兒與家庭教育學系,國立臺北教育大學幼兒與家庭教育學系(032052),17,不要求,51,3,無,無,1300,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032052.htm?v=1.0,https://www.unews.com.tw/School/Department/35/906
幼兒與家庭教育學系（芝山組）,國立臺北教育大學幼兒與家庭教育學系（芝山組）(032062),2,不要求,6,無,無,無,1300,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032062.htm?v=1.0,https://www.unews.com.tw/School/Department/35/906
特殊教育學系,國立臺北教育大學特殊教育學系(032072),18,不要求,54,2,無,無,1300,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032072.htm?v=1.0,https://www.unews.com.tw/School/Department/35/907
特殊教育學系（芝山組）,國立臺北教育大學特殊教育學系（芝山組）(032082),3,不要求,9,無,無,無,1300,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032082.htm?v=1.0,https://www.unews.com.tw/School/Department/35/907
心理與諮商學系,國立臺北教育大學心理與諮商學系(032092),10,不要求,30,1,2,無,1500,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032092.htm?v=1.0,https://www.unews.com.tw/School/Department/35/916
心理與諮商學系（芝山組）,國立臺北教育大學心理與諮商學系（芝山組）(032102),6,不要求,18,無,無,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032102.htm?v=1.0,https://www.unews.com.tw/School/Department/35/916
社會與區域發展學系,國立臺北教育大學社會與區域發展學系(032112),30,不要求,60,4,無,無,1300,112.05.21、112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032112.htm?v=1.0,https://www.unews.com.tw/School/Department/35/919
社會與區域發展學系,國立臺北教育大學社會與區域發展學系(青年儲蓄帳戶組)(032122),1,不要求,50,無,無,無,1300,112.05.21、112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032122.htm?v=1.0,https://www.unews.com.tw/School/Department/35/919
兒童英語教育學系、英文,國立臺北教育大學兒童英語教育學系(032132),25,不要求,75,3,1,無,1500,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032132.htm?v=1.0,https://www.unews.com.tw/School/Department/35/904
兒童英語教育學系、英文,國立臺北教育大學兒童英語教育學系(公費生)(032142),1,不要求,6,無,無,無,1500,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032142.htm?v=1.0,https://www.unews.com.tw/School/Department/35/904
語文與創作學系語文師資組,國立臺北教育大學語文與創作學系語文師資組(032152),16,不要求,48,3,無,無,1300,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032152.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3495
語文與創作學系文學創作組,國立臺北教育大學語文與創作學系文學創作組(032162),18,不要求,54,1,無,無,1300,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032162.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3495
文化創意產業經營學系,國立臺北教育大學文化創意產業經營學系(032172),20,不要求,60,1,無,無,1300,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032172.htm?v=1.0,https://www.unews.com.tw/School/Department/35/912
文化創意產業經營學系,國立臺北教育大學文化創意產業經營學系(青年儲蓄帳戶組)(032182),2,不要求,50,無,無,無,1300,112.05.19、112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032182.htm?v=1.0,https://www.unews.com.tw/School/Department/35/912
數學暨資訊教育學系數學組,國立臺北教育大學數學暨資訊教育學系數學組(032192),14,不要求,42,2,無,無,1300,112.05.21、112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032192.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3493
數學暨資訊教育學系人工智慧與資訊教育組,國立臺北教育大學數學暨資訊教育學系人工智慧與資訊教育組(032202),12,不要求,42,2,無,無,1300,112.05.21、112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032202.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3493
數學暨資訊教育學系人工智慧與資訊教育組、apcs,國立臺北教育大學數學暨資訊教育學系人工智慧與資訊教育組(APCS組)(032212),2,不要求,6,無,無,無,1300,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032212.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3493
自然科學教育學系,國立臺北教育大學自然科學教育學系(032222),28,不要求,84,2,無,無,1300,112.05.21、112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032222.htm?v=1.0,https://www.unews.com.tw/School/Department/35/901
自然科學教育學系（芝山組）,國立臺北教育大學自然科學教育學系（芝山組）(032232),2,不要求,10,2,無,無,1300,112.05.22、112.05.23,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032232.htm?v=1.0,https://www.unews.com.tw/School/Department/35/901
自然科學教育學系,國立臺北教育大學自然科學教育學系(公費生)(032242),1,不要求,6,無,無,無,1300,112.05.22、112.05.23,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032242.htm?v=1.0,https://www.unews.com.tw/School/Department/35/901
資訊科學系、資科,國立臺北教育大學資訊科學系(032252),26,不要求,78,1,無,無,1300,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032252.htm?v=1.0,https://www.unews.com.tw/School/Department/35/920
數位科技設計學系,國立臺北教育大學數位科技設計學系(032262),20,不要求,60,無,無,無,1300,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032262.htm?v=1.0,https://www.unews.com.tw/School/Department/35/915
數位科技設計學系、apcs,國立臺北教育大學數位科技設計學系(APCS組)(032272),3,不要求,9,無,無,無,1300,112.05.18,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032272.htm?v=1.0,https://www.unews.com.tw/School/Department/35/915
藝術與造形設計學系設計組,國立臺北教育大學藝術與造形設計學系設計組(032282),22,不要求,66,無,無,無,1300,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_032282.htm?v=1.0,https://www.unews.com.tw/School/Department/35/3494
