搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
西洋語文學系,國立高雄大學西洋語文學系(101012),25,不要求,75,2,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101012.htm?v=1.0,https://www.unews.com.tw/School/Department/17/527
運動健康與休閒學系,國立高雄大學運動健康與休閒學系(101022),33,不要求,99,2,無,無,1200,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101022.htm?v=1.0,https://www.unews.com.tw/School/Department/17/549
東亞語文學系日語組、日文,國立高雄大學東亞語文學系日語組(101032),7,不要求,28,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101032.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3519
東亞語文學系韓語組,國立高雄大學東亞語文學系韓語組(101042),7,不要求,28,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101042.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3519
東亞語文學系越語組,國立高雄大學東亞語文學系越語組(101052),7,不要求,28,1,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101052.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3519
法律學系,國立高雄大學法律學系(101062),20,不要求,60,無,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101062.htm?v=1.0,https://www.unews.com.tw/School/Department/17/536
政治法律學系,國立高雄大學政治法律學系(101072),22,不要求,66,1,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101072.htm?v=1.0,https://www.unews.com.tw/School/Department/17/538
財經法律學系,國立高雄大學財經法律學系(101082),20,不要求,60,3,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101082.htm?v=1.0,https://www.unews.com.tw/School/Department/17/536
應用經濟學系,國立高雄大學應用經濟學系(101092),26,不要求,78,1,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101092.htm?v=1.0,https://www.unews.com.tw/School/Department/17/532
亞太工商管理學系企業管理組、企管,國立高雄大學亞太工商管理學系企業管理組(101102),11,不要求,50,1,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101102.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3520
亞太工商管理學系工業管理組、工管,國立高雄大學亞太工商管理學系工業管理組(101112),14,不要求,49,1,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101112.htm?v=1.0,https://www.unews.com.tw/School/Department/17/3520
資訊管理學系、資管,國立高雄大學資訊管理學系(101122),19,不要求,57,無,無,無,1200,112.05.19、112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_101122.htm?v=1.0,https://www.unews.com.tw/School/Department/17/543
