搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,國立臺南大學教育學系(033012),47,不要求,118,2,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033012.htm?v=1.0,https://www.unews.com.tw/School/Department/34/879
教育學系,國立臺南大學教育學系(公費生甲組)(033022),1,不要求,7,無,無,無,1200,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033022.htm?v=1.0,https://www.unews.com.tw/School/Department/34/879
教育學系,國立臺南大學教育學系(公費生乙組)(033032),1,不要求,7,無,無,無,1200,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033032.htm?v=1.0,https://www.unews.com.tw/School/Department/34/879
教育學系,國立臺南大學教育學系(公費生丙組)(033042),1,不要求,7,無,無,無,1200,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033042.htm?v=1.0,https://www.unews.com.tw/School/Department/34/879
諮商與輔導學系,國立臺南大學諮商與輔導學系(033052),20,不要求,60,1,1,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033052.htm?v=1.0,https://www.unews.com.tw/School/Department/34/889
特殊教育學系,國立臺南大學特殊教育學系(033062),17,不要求,51,無,無,無,1200,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033062.htm?v=1.0,https://www.unews.com.tw/School/Department/34/882
特殊教育學系,國立臺南大學特殊教育學系(青年儲蓄帳戶組)(033072),1,不要求,50,無,無,無,1200,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033072.htm?v=1.0,https://www.unews.com.tw/School/Department/34/882
幼兒教育學系、幼教,國立臺南大學幼兒教育學系(033082),17,不要求,51,2,無,無,1200,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033082.htm?v=1.0,https://www.unews.com.tw/School/Department/34/881
幼兒教育學系、幼教,國立臺南大學幼兒教育學系(公費生)(033092),1,不要求,4,無,無,無,1200,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033092.htm?v=1.0,https://www.unews.com.tw/School/Department/34/881
文化與自然資源學系,國立臺南大學文化與自然資源學系(033102),17,不要求,51,1,無,無,1200,112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033102.htm?v=1.0,https://www.unews.com.tw/School/Department/34/890
國語文學系,國立臺南大學國語文學系(033112),39,不要求,117,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033112.htm?v=1.0,https://www.unews.com.tw/School/Department/34/887
英語學系、英文,國立臺南大學英語學系(033122),14,不要求,49,2,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033122.htm?v=1.0,https://www.unews.com.tw/School/Department/34/888
英語學系、英文,國立臺南大學英語學系(公費生)(033132),1,不要求,4,無,無,無,1200,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_033132.htm?v=1.0,https://www.unews.com.tw/School/Department/34/888
