搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
機械工程學系、機械,國立聯合大學機械工程學系(151012),33,不要求,99,9,無,2,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151012.htm?v=1.0,https://www.unews.com.tw/School/Department/30/829
化學工程學系、化工,國立聯合大學化學工程學系(151022),51,不要求,153,3,無,無,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151022.htm?v=1.0,https://www.unews.com.tw/School/Department/30/831
土木與防災工程學系,國立聯合大學土木與防災工程學系(151032),28,不要求,84,2,無,無,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151032.htm?v=1.0,https://www.unews.com.tw/School/Department/30/830
材料科學工程學系,國立聯合大學材料科學工程學系(151042),28,不要求,84,2,無,無,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151042.htm?v=1.0,https://www.unews.com.tw/School/Department/30/832
環境與安全衛生工程學系,國立聯合大學環境與安全衛生工程學系(151052),33,不要求,99,4,無,7,900,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151052.htm?v=1.0,https://www.unews.com.tw/School/Department/30/833
能源工程學系,國立聯合大學能源工程學系(151062),36,不要求,108,2,無,無,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151062.htm?v=1.0,https://www.unews.com.tw/School/Department/30/834
建築學系,國立聯合大學建築學系(151072),17,不要求,51,2,無,4,1200,112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151072.htm?v=1.0,https://www.unews.com.tw/School/Department/30/835
工業設計學系,國立聯合大學工業設計學系(151082),20,不要求,60,2,無,無,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151082.htm?v=1.0,https://www.unews.com.tw/School/Department/30/821
電機工程學系、電機,國立聯合大學電機工程學系(151092),49,不要求,147,無,無,1,900,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151092.htm?v=1.0,https://www.unews.com.tw/School/Department/30/825
電子工程學系,國立聯合大學電子工程學系(151102),68,不要求,204,9,無,3,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151102.htm?v=1.0,https://www.unews.com.tw/School/Department/30/826
光電工程學系,國立聯合大學光電工程學系(151112),29,不要求,87,2,無,無,1100,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_151112.htm?v=1.0,https://www.unews.com.tw/School/Department/30/827
