搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
電機工程學系甲組、電機,國立陽明交通大學電機工程學系甲組(電資國際組)(013012),8,不要求,48,無,無,無,800,112.05.19,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013012.htm?v=1.0,https://www.unews.com.tw/
電機工程學系乙組、電機,國立陽明交通大學電機工程學系乙組(電機工程組)(013022),113,不要求,339,1,無,無,800,112.05.19、112.05.26,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013022.htm?v=1.0,https://www.unews.com.tw/
電機工程學系丙組、電機,國立陽明交通大學電機工程學系丙組(醫學電資組)(013032),8,不要求,48,無,無,無,800,112.05.26,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013032.htm?v=1.0,https://www.unews.com.tw/
光電工程學系,國立陽明交通大學光電工程學系(013042),19,不要求,57,1,無,無,1000,112.05.25,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013042.htm?v=1.0,https://www.unews.com.tw/
資訊工程學系、資工,國立陽明交通大學資訊工程學系(甲組)(013052),5,不要求,50,無,無,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013052.htm?v=1.0,https://www.unews.com.tw/
資訊工程學系、資工,國立陽明交通大學資訊工程學系(乙組)(013062),108,不要求,324,無,1,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013062.htm?v=1.0,https://www.unews.com.tw/
資訊工程學系、資工、apcs,國立陽明交通大學資訊工程學系(APCS組)(013072),5,不要求,45,無,無,無,1000,112.05.24,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013072.htm?v=1.0,https://www.unews.com.tw/
奈米科學及工程學士學位學程甲組,國立陽明交通大學奈米科學及工程學士學位學程甲組(主修半導體)(013082),16,不要求,48,無,無,無,1000,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013082.htm?v=1.0,https://www.unews.com.tw/
奈米科學及工程學士學位學程乙組,國立陽明交通大學奈米科學及工程學士學位學程乙組(主修奈米)(013092),17,不要求,51,無,無,無,1000,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013092.htm?v=1.0,https://www.unews.com.tw/
材料科學與工程學系,國立陽明交通大學材料科學與工程學系(013102),25,不要求,75,1,無,無,1000,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_013102.htm?v=1.0,https://www.unews.com.tw/
