搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
哲學系,中國文化大學哲學系(017012),21,不要求,63,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017012.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1350
中國文學系中國文學組、中文,中國文化大學中國文學系中國文學組(017022),25,不要求,75,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017022.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3557
中國文學系文藝創作組、中文,中國文化大學中國文學系文藝創作組(017032),21,不要求,63,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017032.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3557
史學系,中國文化大學史學系(017042),21,不要求,63,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017042.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1349
日本語文學系,中國文化大學日本語文學系(017052),48,不要求,144,7,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017052.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1346
韓國語文學系,中國文化大學韓國語文學系(017062),50,不要求,150,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017062.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1348
俄國語文學系,中國文化大學俄國語文學系(017072),22,不要求,66,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017072.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1347
英國語文學系,中國文化大學英國語文學系(語言文化組)(017082),12,不要求,48,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017082.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1343
英國語文學系,中國文化大學英國語文學系(商務應用組)(017092),13,不要求,46,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017092.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1343
法國語文學系,中國文化大學法國語文學系(017102),26,不要求,78,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017102.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1344
全球商務學士學位學程,中國文化大學全球商務學士學位學程(017112),25,不要求,75,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017112.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1364
應用數學系、應數,中國文化大學應用數學系(017122),25,不要求,75,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017122.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1376
光電物理學系,中國文化大學光電物理學系(017132),24,不要求,72,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017132.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1384
化學系,中國文化大學化學系(017142),25,不要求,75,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017142.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1373
地理學系,中國文化大學地理學系(017152),25,不要求,75,4,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017152.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1354
大氣科學系,中國文化大學大氣科學系(017162),22,不要求,66,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017162.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1375
地質學系,中國文化大學地質學系(017172),24,不要求,72,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017172.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1374
生命科學系、生科,中國文化大學生命科學系(017182),24,不要求,72,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017182.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1372
法律學系法學組,中國文化大學法律學系法學組(017192),50,不要求,150,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017192.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3473
法律學系財經法律組,中國文化大學法律學系財經法律組(017202),51,不要求,153,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017202.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3473
法律學系企業金融法制組,中國文化大學法律學系企業金融法制組(017212),19,不要求,57,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017212.htm?v=1.0,https://www.unews.com.tw/School/Department/54/3473
政治學系,中國文化大學政治學系(017222),24,不要求,72,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017222.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1352
經濟學系,中國文化大學經濟學系(017232),51,不要求,153,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017232.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1351
勞動暨人力資源學系,中國文化大學勞動暨人力資源學系(017242),27,不要求,81,3,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017242.htm?v=1.0,https://www.unews.com.tw/School/Info/54
社會福利學系,中國文化大學社會福利學系(017252),48,不要求,144,6,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017252.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1400
行政管理學系,中國文化大學行政管理學系(017262),27,不要求,81,4,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017262.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1357
園藝暨生物技術學系,中國文化大學園藝暨生物技術學系(017272),24,不要求,72,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017272.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1396
動物科學系、動科,中國文化大學動物科學系(017282),23,不要求,69,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017282.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1395
森林暨自然保育學系,中國文化大學森林暨自然保育學系(017292),25,不要求,75,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017292.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1398
土地資源學系,中國文化大學土地資源學系(017302),25,不要求,75,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017302.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1397
生活應用科學系,中國文化大學生活應用科學系(017312),27,不要求,81,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017312.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1404
保健營養學系,中國文化大學保健營養學系(017322),23,不要求,69,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017322.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1399
化學工程與材料工程學系、化工,中國文化大學化學工程與材料工程學系(017332),51,不要求,153,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017332.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1388
電機工程學系、電機,中國文化大學電機工程學系(017342),53,不要求,159,無,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017342.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1378
機械工程學系、機械,中國文化大學機械工程學系(017352),46,不要求,138,4,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017352.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1387
紡織工程學系,中國文化大學紡織工程學系(017362),28,不要求,84,1,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017362.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1389
資訊工程學系、資工,中國文化大學資訊工程學系(017372),62,不要求,186,6,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017372.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1381
國際貿易學系,中國文化大學國際貿易學系(017382),54,不要求,162,5,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017382.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1367
國際企業管理學系、企管,中國文化大學國際企業管理學系(017392),72,不要求,216,2,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017392.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1366
會計學系、會計,中國文化大學會計學系(017402),56,不要求,168,5,無,無,1000,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_017402.htm?v=1.0,https://www.unews.com.tw/School/Department/54/1365
