搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
英國語文學系,靜宜大學英國語文學系(018012),40,不要求,120,1,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018012.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1451
西班牙語文學系,靜宜大學西班牙語文學系(018022),53,不要求,159,1,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018022.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1452
日本語文學系,靜宜大學日本語文學系(018032),57,不要求,171,3,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018032.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1453
中國文學系、中文,靜宜大學中國文學系(018042),54,不要求,162,2,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018042.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1450
社會工作與兒童少年福利學系、社工,靜宜大學社會工作與兒童少年福利學系(018052),60,不要求,180,2,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018052.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1473
台灣文學系,靜宜大學台灣文學系(018062),38,不要求,114,1,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018062.htm?v=1.0,https://www.unews.com.tw/School/Info/56
法律學系,靜宜大學法律學系(018072),73,不要求,219,2,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018072.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1462
生態人文學系,靜宜大學生態人文學系(018082),42,不要求,126,3,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018082.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1463
大眾傳播學系、大傳,靜宜大學大眾傳播學系(018092),36,不要求,108,2,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018092.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1455
財務工程學系,靜宜大學財務工程學系(018102),60,不要求,180,無,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018102.htm?v=1.0,https://www.unews.com.tw/School/Info/56
應用化學系,靜宜大學應用化學系(018112),67,不要求,201,無,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018112.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1464
食品營養學系營養與保健組,靜宜大學食品營養學系營養與保健組(018122),28,不要求,84,無,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018122.htm?v=1.0,https://www.unews.com.tw/School/Department/56/3559
食品營養學系食品與生物技術組,靜宜大學食品營養學系食品與生物技術組(018132),24,不要求,72,無,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018132.htm?v=1.0,https://www.unews.com.tw/School/Department/56/3559
化粧品科學系,靜宜大學化粧品科學系(018142),65,不要求,195,無,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018142.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1475
資料科學暨大數據分析與應用學系,靜宜大學資料科學暨大數據分析與應用學系(018152),90,不要求,270,無,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018152.htm?v=1.0,https://www.unews.com.tw/School/Info/56
企業管理學系、企管,靜宜大學企業管理學系(018162),84,不要求,252,1,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018162.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1459
國際企業學系、國企,靜宜大學國際企業學系(018172),88,不要求,264,2,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018172.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1460
會計學系、會計,靜宜大學會計學系(018182),86,不要求,258,1,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018182.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1458
觀光事業學系,靜宜大學觀光事業學系(018192),80,不要求,240,5,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018192.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1474
財務金融學系、財金,靜宜大學財務金融學系(018202),90,不要求,270,2,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018202.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1461
資訊管理學系、資管,靜宜大學資訊管理學系(018212),75,不要求,225,1,無,無,1000,112.05.26至112.05.28,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_018212.htm?v=1.0,https://www.unews.com.tw/School/Department/56/1469
