搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,東吳大學中國文學系(005012),95,不要求,285,1,1,無,1000,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005012.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1215
歷史學系,東吳大學歷史學系(005022),27,不要求,81,2,無,無,1000,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005022.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1218
哲學系,東吳大學哲學系(005032),36,不要求,108,1,無,無,1000,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005032.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1219
政治學系,東吳大學政治學系(005042),68,不要求,204,1,無,無,1000,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005042.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1221
社會學系,東吳大學社會學系(005052),60,不要求,180,3,無,無,1000,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005052.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1222
社會工作學系、社工,東吳大學社會工作學系(005062),59,不要求,177,5,2,無,1000,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005062.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1237
社會工作學系、社工,東吳大學社會工作學系(連江公費生)(005072),1,不要求,10,無,無,無,1000,112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005072.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1237
英文學系,東吳大學英文學系(005082),87,不要求,261,2,無,無,900,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005082.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1216
日本語文學系,東吳大學日本語文學系(005092),82,不要求,246,2,1,無,1000,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005092.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1217
德國文化學系,東吳大學德國文化學系(005102),24,不要求,72,無,無,無,1000,112.05.21至112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_005102.htm?v=1.0,https://www.unews.com.tw/School/Department/51/1232
