搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
新聞學系,世新大學新聞學系(047012),73,不要求,219,9,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047012.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1679
廣播電視電影學系廣播組、廣電,世新大學廣播電視電影學系廣播組(047022),67,不要求,201,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047022.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3566
廣播電視電影學系電視組、廣電,世新大學廣播電視電影學系電視組(047032),89,不要求,267,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047032.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3566
廣播電視電影學系電影組、廣電,世新大學廣播電視電影學系電影組(047042),67,不要求,201,無,1,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047042.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3566
圖文傳播學系,世新大學圖文傳播學系(047052),67,不要求,201,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047052.htm?v=1.0,https://www.unews.com.tw/School/Info/63
公共關係暨廣告學系,世新大學公共關係暨廣告學系(047062),112,不要求,336,8,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047062.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1683
口語傳播暨社群媒體學系,世新大學口語傳播暨社群媒體學系(047072),67,不要求,201,5,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047072.htm?v=1.0,https://www.unews.com.tw/School/Info/63
資訊傳播學系,世新大學資訊傳播學系(047082),50,不要求,150,2,1,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047082.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1677
數位多媒體設計學系動畫設計組,世新大學數位多媒體設計學系動畫設計組(047092),48,不要求,144,3,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047092.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3565
數位多媒體設計學系遊戲設計組,世新大學數位多媒體設計學系遊戲設計組(047102),11,不要求,50,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047102.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3565
傳播管理學系,世新大學傳播管理學系(047112),92,不要求,276,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047112.htm?v=1.0,https://www.unews.com.tw/School/Department/63/1687
資訊管理學系資訊管理組、資管,世新大學資訊管理學系資訊管理組(047122),34,不要求,102,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047122.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3567
資訊管理學系資訊科技組、資管,世新大學資訊管理學系資訊科技組(047132),6,不要求,48,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_047132.htm?v=1.0,https://www.unews.com.tw/School/Department/63/3567
