搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
醫學系,慈濟大學醫學系(108012),26,不要求,78,無,無,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108012.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2008
醫學檢驗生物技術學系,慈濟大學醫學檢驗生物技術學系(108022),34,不要求,102,1,無,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108022.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2012
公共衛生學系、公衛,慈濟大學公共衛生學系(108032),14,不要求,49,1,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108032.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2009
護理學系,慈濟大學護理學系(108042),33,不要求,99,2,無,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108042.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2011
醫學資訊學系,慈濟大學醫學資訊學系(108052),23,不要求,69,3,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108052.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2013
物理治療學系,慈濟大學物理治療學系(108062),22,不要求,66,2,無,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108062.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2010
生物醫學暨工程學系、生醫,慈濟大學生物醫學暨工程學系(108072),20,不要求,60,2,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108072.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3777
分子生物暨人類遺傳學系,慈濟大學分子生物暨人類遺傳學系(108082),14,不要求,49,1,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108082.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2007
傳播學系,慈濟大學傳播學系(108092),13,不要求,46,2,無,無,1000,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108092.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2005
兒童發展與家庭教育學系,慈濟大學兒童發展與家庭教育學系(108102),12,不要求,48,1,無,無,1000,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108102.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2000
社會工作學系、社工,慈濟大學社會工作學系(108112),17,不要求,51,2,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108112.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2014
人類發展與心理學系,慈濟大學人類發展與心理學系(108122),13,不要求,46,3,無,無,1000,112.05.19,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108122.htm?v=1.0,https://www.unews.com.tw/School/Info/75
東方語文學系中文組,慈濟大學東方語文學系中文組(108132),5,不要求,50,1,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108132.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3581
東方語文學系日文組,慈濟大學東方語文學系日文組(108142),8,不要求,48,2,無,無,1000,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108142.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3581
外國語文學系、外文,慈濟大學外國語文學系(108152),7,不要求,49,1,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108152.htm?v=1.0,https://www.unews.com.tw/School/Info/75
國際服務產業管理學士學位學程,慈濟大學國際服務產業管理學士學位學程(108162),9,不要求,50,1,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108162.htm?v=1.0,https://www.unews.com.tw/School/Department/75/3481
醫學系,慈濟大學醫學系(公費生)(108172),7,不要求,21,無,無,無,1500,112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108172.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2008
翔飛A組,慈濟大學翔飛A組(108182),7,不要求,49,無,無,無,0,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108182.htm?v=1.0,https://www.unews.com.tw/School/Info/75
翔飛B組,慈濟大學翔飛B組(108192),3,不要求,50,無,無,無,0,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108192.htm?v=1.0,https://www.unews.com.tw/School/Info/75
醫學資訊學系、apcs,慈濟大學醫學資訊學系(APCS組)(108202),2,不要求,30,無,無,無,800,--,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_108202.htm?v=1.0,https://www.unews.com.tw/School/Department/75/2013
