搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學系、中文,東海大學中國文學系(009012),59,不要求,177,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009012.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1109
外國語文學系、外文,東海大學外國語文學系(009022),52,不要求,156,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009022.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1110
歷史學系,東海大學歷史學系(009032),34,不要求,102,1,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009032.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1112
日本語言文化學系,東海大學日本語言文化學系(009042),58,不要求,174,1,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009042.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3541
哲學系,東海大學哲學系(009052),34,不要求,102,4,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009052.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1113
應用物理學系,東海大學應用物理學系(009062),34,不要求,102,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009062.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1133
化學系化學組,東海大學化學系化學組(009072),26,不要求,78,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009072.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3541
化學系化學生物組,東海大學化學系化學生物組(009082),28,不要求,84,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009082.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3541
生命科學系生物醫學組、生醫,東海大學生命科學系生物醫學組(009092),28,不要求,84,1,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009092.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3540
生命科學系生態暨生物多樣性組、生科,東海大學生命科學系生態暨生物多樣性組(009102),28,不要求,84,1,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_009102.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3540
