搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
中國文學學系、中文,淡江大學中國文學學系(014012),33,不要求,99,4,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014012.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1280
歷史學系,淡江大學歷史學系(014022),37,不要求,111,3,無,無,1100,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014022.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1288
資訊與圖書館學系,淡江大學資訊與圖書館學系(014032),60,不要求,180,8,1,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014032.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1296
大眾傳播學系、大傳,淡江大學大眾傳播學系(014042),64,不要求,192,1,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014042.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1294
資訊傳播學系,淡江大學資訊傳播學系(014052),35,不要求,105,1,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014052.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1295
教育科技學系,淡江大學教育科技學系(014062),64,不要求,192,5,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014062.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1279
教育與未來設計學系,淡江大學教育與未來設計學系(014072),26,不要求,78,3,無,無,1100,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014072.htm?v=1.0,https://www.unews.com.tw/School/Department/53/3696
英文學系,淡江大學英文學系(014082),46,不要求,138,3,1,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014082.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1281
英文學系全英語學士班、英文,淡江大學英文學系全英語學士班(014092),35,不要求,105,2,無,無,1100,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014092.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1281
法國語文學系,淡江大學法國語文學系(014102),27,不要求,81,4,無,無,1100,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_014102.htm?v=1.0,https://www.unews.com.tw/School/Department/53/1282
