搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
大學醫學系,臺北醫學大學醫學系(109012),85,不要求,255,無,無,無,1200,112.05.25至112.05.28,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109012.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2017
大學醫學系,臺北醫學大學醫學系(公費生)(109022),5,不要求,15,無,無,無,1200,112.05.22,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109022.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2017
大學牙醫學系,臺北醫學大學牙醫學系(109032),56,不要求,168,無,2,無,1300,112.05.25至112.05.27,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109032.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2017
大學藥學系藥學組,臺北醫學大學藥學系藥學組(109042),57,不要求,171,3,1,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109042.htm?v=1.0,https://www.unews.com.tw/School/Department/76/3582
大學藥學系藥學組、英文,臺北醫學大學藥學系藥學組(英語組)(109052),36,不要求,108,無,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109052.htm?v=1.0,https://www.unews.com.tw/School/Department/76/3582
大學藥學系臨床藥學組,臺北醫學大學藥學系臨床藥學組(109062),39,不要求,117,無,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109062.htm?v=1.0,https://www.unews.com.tw/School/Department/76/3582
大學醫學檢驗暨生物技術學系、醫檢,臺北醫學大學醫學檢驗暨生物技術學系(109072),35,不要求,105,1,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109072.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2024
大學護理學系,臺北醫學大學護理學系(109082),39,不要求,117,無,1,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109082.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2022
大學保健營養學系,臺北醫學大學保健營養學系(109092),41,不要求,123,無,2,無,1200,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109092.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2021
大學公共衛生學系、公衛,臺北醫學大學公共衛生學系(109102),25,不要求,75,1,無,無,1200,112.05.21至112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109102.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2018
大學醫務管理學系,臺北醫學大學醫務管理學系(109112),32,不要求,96,3,1,無,1200,112.05.22,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109112.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2015
大學呼吸治療學系,臺北醫學大學呼吸治療學系(109122),26,不要求,78,無,無,無,1200,112.05.18,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109122.htm?v=1.0,https://www.unews.com.tw/School/Department/76/2023
大學高齡健康暨長期照護學系,臺北醫學大學高齡健康暨長期照護學系(109132),28,不要求,84,5,無,無,1200,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_109132.htm?v=1.0,https://www.unews.com.tw/School/Info/76
