搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
機械與材料工程學系、材料,大同大學機械與材料工程學系(019012),46,不要求,138,4,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019012.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3700
化學工程與生物科技學系、化工,大同大學化學工程與生物科技學系(019022),48,不要求,144,1,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019022.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3426
工程學院學士班,大同大學工程學院學士班(019032),29,不要求,87,2,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019032.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3622
電機工程學系、電機,大同大學電機工程學系(019042),69,不要求,207,6,無,無,850,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019042.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1882
資訊工程學系、資工,大同大學資訊工程學系(019052),70,不要求,210,7,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019052.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1885
事業經營學系,大同大學事業經營學系(019062),48,不要求,144,4,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019062.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1881
資訊經營學系,大同大學資訊經營學系(019072),27,不要求,81,2,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019072.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1880
應用外語學系、應外,大同大學應用外語學系(019082),22,不要求,66,2,無,無,850,112.05.19至112.05.20,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019082.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1876
工業設計學系,大同大學工業設計學系(019092),48,不要求,144,4,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019092.htm?v=1.0,https://www.unews.com.tw/School/Department/70/1879
媒體設計學系互動媒體設計組,大同大學媒體設計學系互動媒體設計組(019102),22,不要求,66,2,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019102.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3575
媒體設計學系數位遊戲設計組,大同大學媒體設計學系數位遊戲設計組(019112),27,不要求,81,2,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019112.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3575
機械與材料工程學系、材料,大同大學機械與材料工程學系(青年儲蓄帳戶組)(019122),1,不要求,50,無,無,無,850,112.05.19至112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_019122.htm?v=1.0,https://www.unews.com.tw/School/Department/70/3700
