搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
食品營養與保健生技學系,實踐大學食品營養與保健生技學系(臺北校區)(050012),54,不要求,162,4,無,無,1100,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050012.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1766
社會工作學系、社工,實踐大學社會工作學系(臺北校區)(050022),45,不要求,135,5,無,無,1100,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050022.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1767
家庭研究與兒童發展學系,實踐大學家庭研究與兒童發展學系(臺北校區)(050032),23,不要求,69,2,1,無,1100,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050032.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1768
餐飲管理學系廚藝組,實踐大學餐飲管理學系廚藝組(臺北校區)(050042),12,不要求,48,1,無,無,1100,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050042.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1769
餐飲管理學系餐旅組,實踐大學餐飲管理學系餐旅組(臺北校區)(050052),10,不要求,50,1,1,無,1100,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050052.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1769
法律學系,實踐大學法律學系(臺北校區)(050062),20,不要求,60,1,無,無,1100,112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050062.htm?v=1.0,https://www.unews.com.tw/School/Info/65
服裝設計學系,實踐大學服裝設計學系(臺北校區)(050072),81,不要求,243,2,2,無,1400,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050072.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1772
媒體傳達設計學系數位3D動畫設計組,實踐大學媒體傳達設計學系數位3D動畫設計組(臺北校區)(050082),25,不要求,75,1,無,無,1400,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050082.htm?v=1.0,https://www.unews.com.tw/School/Department/65/3569
媒體傳達設計學系創意媒體設計組,實踐大學媒體傳達設計學系創意媒體設計組(臺北校區)(050092),25,不要求,75,1,無,無,1400,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050092.htm?v=1.0,https://www.unews.com.tw/School/Department/65/3569
工業產品設計學系、工設,實踐大學工業產品設計學系(臺北校區)(050102),41,不要求,123,1,無,無,1400,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050102.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1749
建築設計學系Ａ組,實踐大學建築設計學系Ａ組(臺北校區)(050112),14,不要求,49,1,無,無,1400,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050112.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1765
建築設計學系Ｂ組,實踐大學建築設計學系Ｂ組(臺北校區)(050122),10,不要求,50,1,無,無,1400,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050122.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1765
會計學系、會計,實踐大學會計學系(臺北校區)(050132),40,不要求,120,3,無,無,1100,112.05.19、112.05.20、112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_050132.htm?v=1.0,https://www.unews.com.tw/School/Department/65/1750
