搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
教育學系,臺北市立大學教育學系(035012),36,不要求,108,3,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035012.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3274
特殊教育學系,臺北市立大學特殊教育學系(035022),20,不要求,50,無,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035022.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3278
幼兒教育學系、幼教,臺北市立大學幼兒教育學系(035032),44,不要求,132,2,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035032.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3277
心理與諮商學系,臺北市立大學心理與諮商學系(035042),17,不要求,51,2,2,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035042.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3285
學習與媒材設計學系,臺北市立大學學習與媒材設計學系(035052),18,不要求,54,4,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035052.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3279
中國語文學系,臺北市立大學中國語文學系(035062),28,不要求,84,無,無,無,1200,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035062.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3283
英語教學系、英文,臺北市立大學英語教學系(035072),23,不要求,69,2,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035072.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3275
社會暨公共事務學系,臺北市立大學社會暨公共事務學系(035082),19,不要求,57,2,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035082.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3286
歷史與地理學系,臺北市立大學歷史與地理學系(035092),14,不要求,49,2,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035092.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3284
地球環境暨生物資源學系,臺北市立大學地球環境暨生物資源學系(035102),20,不要求,60,2,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035102.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3289
應用物理暨化學系電子物理組,臺北市立大學應用物理暨化學系電子物理組(035112),9,不要求,50,無,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035112.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3288
應用物理暨化學系應用化學組,臺北市立大學應用物理暨化學系應用化學組(035122),8,不要求,48,無,無,無,1200,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035122.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3288
數學系,臺北市立大學數學系(035132),18,不要求,54,無,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035132.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3290
資訊科學系、資科,臺北市立大學資訊科學系(035142),24,不要求,72,2,無,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035142.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3291
資訊科學系、資科、apcs,臺北市立大學資訊科學系(APCS組)(035152),3,不要求,9,無,無,無,600,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035152.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3291
資訊科學系、資科,臺北市立大學資訊科學系(公費生)(035162),2,不要求,6,無,無,無,600,112.05.20,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035162.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3291
城市發展學系,臺北市立大學城市發展學系(035172),14,不要求,49,1,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035172.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3292
都會產業經營與行銷學系,臺北市立大學都會產業經營與行銷學系(035182),14,不要求,49,2,無,無,1200,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_035182.htm?v=1.0,https://www.unews.com.tw/School/Department/145/3287
