搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
健康產業管理學系健康產業管理組,亞洲大學健康產業管理學系健康產業管理組(13401),8,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13401.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3598?t=2
健康產業管理學系醫療機構管理組,亞洲大學健康產業管理學系醫療機構管理組(13402),8,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13402.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3598?t=2
心理學系工商與社會心理組,亞洲大學心理學系工商與社會心理組(13403),10,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13403.htm?v=1.0,https://www.unews.com.tw/School/Department/96/2500?t=2
資訊傳播學系智慧傳播應用組,亞洲大學資訊傳播學系智慧傳播應用組(13404),3,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13404.htm?v=1.0,https://www.unews.com.tw/School/Department/96/2501?t=2
資訊傳播學系新媒體傳播內容組,亞洲大學資訊傳播學系新媒體傳播內容組(13405),6,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13405.htm?v=1.0,https://www.unews.com.tw/School/Department/96/2501?t=2
經營管理學系,亞洲大學經營管理學系(13406),14,2,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13406.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3596?t=2
休閒與遊憩管理學系,亞洲大學休閒與遊憩管理學系(13407),6,2,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13407.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3602?t=2
會計與資訊學系,亞洲大學會計與資訊學系(13408),8,2,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13408.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3405?t=2
財務金融學系投資理財組、財金,亞洲大學財務金融學系投資理財組(13409),9,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13409.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3421?t=2
財務金融學系金融科技組、財金,亞洲大學財務金融學系金融科技組(13410),10,1,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13410.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3421?t=2
財經法律學系,亞洲大學財經法律學系(13411),18,2,第一類學群,22,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_13411.htm?v=1.0,https://www.unews.com.tw/School/Department/96/3599?t=2
