搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
人文與資訊學系一般組,真理大學人文與資訊學系一般組(07901),2,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07901.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1855?t=2
人文與資訊學系行銷實務組,真理大學人文與資訊學系行銷實務組(07902),2,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07902.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1855?t=2
人文與資訊學系數位應用組,真理大學人文與資訊學系數位應用組(07903),2,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07903.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1855?t=2
宗教文化與資訊管理學系、資管,真理大學宗教文化與資訊管理學系(07904),7,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07904.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1866?t=2
英美語文學系一般組,真理大學英美語文學系一般組(07905),3,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07905.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852?t=2
英美語文學系英語暨華語教學組、英文,真理大學英美語文學系英語暨華語教學組(07906),4,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07906.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852?t=2
英美語文學系傳播暨文化經貿組,真理大學英美語文學系傳播暨文化經貿組(07907),3,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07907.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852?t=2
英美語文學系導覽暨旅遊服務組,真理大學英美語文學系導覽暨旅遊服務組(07908),3,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07908.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1852?t=2
應用日語學系、日文,真理大學應用日語學系(07909),12,2,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07909.htm?v=1.0,https://www.unews.com.tw/School/Department/69/1853?t=2
台灣文學系一般組,真理大學台灣文學系一般組(07910),3,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_07910.htm?v=1.0,https://www.unews.com.tw/School/Info/69
