搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中國文學系、中文,國立中正大學中國文學系(04101),12,2,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04101.htm?v=1.0,https://www.unews.com.tw/School/Department/11/383?t=2
外國語文學系、外文,國立中正大學外國語文學系(04102),10,1,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04102.htm?v=1.0,https://www.unews.com.tw/School/Department/11/384?t=2
歷史學系,國立中正大學歷史學系(04103),7,2,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04103.htm?v=1.0,https://www.unews.com.tw/School/Department/11/385?t=2
哲學系,國立中正大學哲學系(04104),10,2,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04104.htm?v=1.0,https://www.unews.com.tw/School/Department/11/386?t=2
社會福利學系,國立中正大學社會福利學系(04105),6,2,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04105.htm?v=1.0,https://www.unews.com.tw/School/Department/11/410?t=2
勞工關係學系,國立中正大學勞工關係學系(04106),12,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04106.htm?v=1.0,https://www.unews.com.tw/School/Department/11/390?t=2
政治學系,國立中正大學政治學系(04107),6,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04107.htm?v=1.0,https://www.unews.com.tw/School/Department/11/388?t=2
傳播學系,國立中正大學傳播學系(04108),5,2,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04108.htm?v=1.0,https://www.unews.com.tw/School/Department/11/392?t=2
經濟學系,國立中正大學經濟學系(04109),27,4,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04109.htm?v=1.0,https://www.unews.com.tw/School/Department/11/387?t=2
財務金融學系、財金,國立中正大學財務金融學系(04110),11,1,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04110.htm?v=1.0,https://www.unews.com.tw/School/Department/11/395?t=2
企業管理學系、企管,國立中正大學企業管理學系(04111),13,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04111.htm?v=1.0,https://www.unews.com.tw/School/Department/11/394?t=2
會計與資訊科技學系,國立中正大學會計與資訊科技學系(04112),6,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04112.htm?v=1.0,https://www.unews.com.tw/School/Department/11/393?t=2
法律學系法學組,國立中正大學法律學系法學組(04113),10,1,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04113.htm?v=1.0,https://www.unews.com.tw/School/Department/11/3512?t=2
法律學系法制組,國立中正大學法律學系法制組(04114),10,1,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04114.htm?v=1.0,https://www.unews.com.tw/School/Department/11/3512?t=2
財經法律學系,國立中正大學財經法律學系(04115),15,1,第一類學群,17,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04115.htm?v=1.0,https://www.unews.com.tw/School/Department/11/3512?t=2
成人及繼續教育學系,國立中正大學成人及繼續教育學系(04116),4,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04116.htm?v=1.0,https://www.unews.com.tw/School/Department/11/382?t=2
犯罪防治學系,國立中正大學犯罪防治學系(04117),2,無,第一類學群,17,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04117.htm?v=1.0,https://www.unews.com.tw/School/Department/11/391?t=2
數學系,國立中正大學數學系(04118),8,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04118.htm?v=1.0,https://www.unews.com.tw/School/Department/11/403?t=2
地球與環境科學系,國立中正大學地球與環境科學系(04119),7,1,第二類學群,11,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04119.htm?v=1.0,https://www.unews.com.tw/School/Department/11/401?t=2
物理學系,國立中正大學物理學系(04120),3,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04120.htm?v=1.0,https://www.unews.com.tw/School/Department/11/402?t=2
化學暨生物化學系,國立中正大學化學暨生物化學系(04121),18,2,第二類學群,11,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04121.htm?v=1.0,https://www.unews.com.tw/School/Department/11/400?t=2
資訊工程學系、資工,國立中正大學資訊工程學系(04122),6,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04122.htm?v=1.0,https://www.unews.com.tw/School/Department/11/406?t=2
電機工程學系、電機,國立中正大學電機工程學系(04123),9,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04123.htm?v=1.0,https://www.unews.com.tw/School/Department/11/405?t=2
機械工程學系機械工程組、機械,國立中正大學機械工程學系機械工程組(04124),9,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04124.htm?v=1.0,https://www.unews.com.tw/School/Department/11/408?t=2
機械工程學系光機電整合工程組、機械,國立中正大學機械工程學系光機電整合工程組(04125),4,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04125.htm?v=1.0,https://www.unews.com.tw/School/Department/11/408?t=2
化學工程學系、化工,國立中正大學化學工程學系(04126),12,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04126.htm?v=1.0,https://www.unews.com.tw/School/Department/11/409?t=2
通訊工程學系,國立中正大學通訊工程學系(04127),4,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04127.htm?v=1.0,https://www.unews.com.tw/School/Department/11/407?t=2
資訊管理學系、資管,國立中正大學資訊管理學系(04128),5,1,第二類學群,11,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04128.htm?v=1.0,https://www.unews.com.tw/School/Department/11/404?t=2
生物醫學科學系、生醫,國立中正大學生物醫學科學系(04129),6,1,第三類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04129.htm?v=1.0,https://www.unews.com.tw/School/Info/11
心理學系,國立中正大學心理學系(04130),7,2,第三類學群,2,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04130.htm?v=1.0,https://www.unews.com.tw/School/Department/11/389?t=2
運動競技學系,國立中正大學運動競技學系(04131),2,1,第七類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04131.htm?v=1.0,https://www.unews.com.tw/School/Department/11/411?t=2
