搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
醫務管理學系,長庚大學醫務管理學系(03001),12,2,第一類學群,7,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03001.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1480?t=2
工商管理學系、工管,長庚大學工商管理學系(數智商務組)(03002),7,無,第一類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03002.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1479?t=2
工商管理學系、工管,長庚大學工商管理學系(工商創業組)(03003),6,1,第一類學群,7,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03003.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1479?t=2
工業設計學系,長庚大學工業設計學系(03004),8,2,第一類學群,7,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03004.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1476?t=2
資訊管理學系、資管,長庚大學資訊管理學系(03005),10,無,第一類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03005.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1482?t=2
數位金融科技學系,長庚大學數位金融科技學系(甲組)(03006),3,無,第一類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03006.htm?v=1.0,https://www.unews.com.tw/School/Info/57
數位金融科技學系,長庚大學數位金融科技學系(乙組)(03007),4,無,第一類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03007.htm?v=1.0,https://www.unews.com.tw/School/Info/57
電機工程學系、電機,長庚大學電機工程學系(03008),20,2,第二類學群,7,2,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03008.htm?v=1.0,https://www.unews.com.tw/School/Department/57/3416?t=2
機械工程學系、機械,長庚大學機械工程學系(03009),8,無,第二類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03009.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1487?t=2
化工與材料工程學系、材料,長庚大學化工與材料工程學系(03010),10,無,第二類學群,7,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_03010.htm?v=1.0,https://www.unews.com.tw/School/Department/57/1488?t=2
