搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
資訊工程學系、資工,中華大學資訊工程學系(資訊應用組)(04301),2,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04301.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3561?t=2
光電與材料工程學系（人工智慧應用組）、材料,中華大學光電與材料工程學系（人工智慧應用組）(04302),3,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04302.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1551?t=2
工業管理學系（智能應用組）,中華大學工業管理學系（智能應用組）(04303),1,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04303.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1527?t=2
資訊管理學系（資訊管理應用組）、資管,中華大學資訊管理學系（資訊管理應用組）(04304),1,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04304.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3474?t=2
資訊管理學系（智慧商務組）、資管,中華大學資訊管理學系（智慧商務組）(04305),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04305.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3474?t=2
資訊管理學系（人工智慧與大數據應用組）、資管,中華大學資訊管理學系（人工智慧與大數據應用組）(04306),1,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04306.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3474?t=2
企業管理學系企業管理組、企管,中華大學企業管理學系企業管理組(04307),3,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04307.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3417?t=2
企業管理學系智慧運輸與物流組、企管,中華大學企業管理學系智慧運輸與物流組(04308),3,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04308.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3417?t=2
財務管理學系財務金融管理組、財金,中華大學財務管理學系財務金融管理組(04309),3,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04309.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1525?t=2
財務管理學系金融資訊管理組、資管,中華大學財務管理學系金融資訊管理組(04310),2,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04310.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1525?t=2
財務管理學系會計資訊與稅務組,中華大學財務管理學系會計資訊與稅務組(04311),2,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04311.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1525?t=2
建築與都市計畫學系（第一類組）,中華大學建築與都市計畫學系（第一類組）(04312),4,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04312.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3475?t=2
景觀建築學系景觀設計組,中華大學景觀建築學系景觀設計組(04313),2,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04313.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1546?t=2
景觀建築學系產品設計組,中華大學景觀建築學系產品設計組(04314),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04314.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1546?t=2
行政管理學系,中華大學行政管理學系(04315),8,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04315.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1521?t=2
應用日語學系（商務觀光組）、日文,中華大學應用日語學系（商務觀光組）(04316),3,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04316.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1518?t=2
應用日語學系（語文翻譯組）、日文,中華大學應用日語學系（語文翻譯組）(04317),2,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04317.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1518?t=2
觀光學院學士班,中華大學觀光學院學士班(智慧旅館餐飲管理組)(04318),3,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04318.htm?v=1.0,https://www.unews.com.tw/School/Info/59
觀光學院學士班,中華大學觀光學院學士班(智慧會展活動管理組)(04319),3,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04319.htm?v=1.0,https://www.unews.com.tw/School/Info/59
觀光學院學士班,中華大學觀光學院學士班(智慧觀光旅遊組)(04320),3,1,第一類學群,23,13,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04320.htm?v=1.0,https://www.unews.com.tw/School/Info/59
英國西英格蘭大學企業管理雙學士學位學程、企管,中華大學英國西英格蘭大學企業管理雙學士學位學程(04321),3,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04321.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3624?t=2
中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程、資管,中華大學中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程(04322),2,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04322.htm?v=1.0,https://www.unews.com.tw/School/Info/59
國際觀光與酒店管理雙學士學位學程,中華大學國際觀光與酒店管理雙學士學位學程(04323),1,無,第一類學群,23,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04323.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3756?t=2
電機工程學系、電機,中華大學電機工程學系(04324),13,3,第二類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04324.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1534?t=2
資訊工程學系、資工,中華大學資訊工程學系(資訊工程組)(04325),12,1,第二類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04325.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3561?t=2
資訊工程學系、資工,中華大學資訊工程學系(人工智慧組)(04326),4,1,第二類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04326.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3561?t=2
機械工程學系、機械,中華大學機械工程學系(智慧自動化組)(04327),2,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04327.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1540?t=2
機械工程學系、機械,中華大學機械工程學系(智慧機械組)(04328),2,1,第二類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04328.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1540?t=2
機械工程學系、機械,中華大學機械工程學系(航空技術組)(04329),2,1,第二類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04329.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1540?t=2
光電與材料工程學系（半導體組）、材料,中華大學光電與材料工程學系（半導體組）(04330),2,1,第二類學群,11,8,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04330.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1551?t=2
