搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
企業管理學系、企管,長榮大學企業管理學系(05101),8,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05101.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2120?t=2
國際企業學系、國企,長榮大學國際企業學系(05102),7,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05102.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2121?t=2
會計資訊學系會計應用組,長榮大學會計資訊學系會計應用組(05103),3,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05103.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2119?t=2
會計資訊學系產業實習組,長榮大學會計資訊學系產業實習組(05104),2,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05104.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2119?t=2
航運管理學系,長榮大學航運管理學系(05105),17,2,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05105.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2141?t=2
土地管理與開發學系,長榮大學土地管理與開發學系(05106),8,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05106.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2133?t=2
財務金融學系金融理財組、財金,長榮大學財務金融學系金融理財組(05107),6,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05107.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2123?t=2
觀光與餐飲管理學系,長榮大學觀光與餐飲管理學系(05108),7,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05108.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2139?t=2
醫務管理學系,長榮大學醫務管理學系(05109),10,1,第一類學群,27,21,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05109.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2124?t=2
護理學系A組,長榮大學護理學系A組(05110),4,無,第一類學群,27,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_05110.htm?v=1.0,https://www.unews.com.tw/School/Department/81/2136?t=2
