搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
中醫學系甲組,中國醫藥大學中醫學系甲組(01201),11,無,第三類學群,14,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01201.htm?v=1.0,https://www.unews.com.tw/School/Department/83/3583?t=2
中醫學系乙組,中國醫藥大學中醫學系乙組(01202),11,無,第三類學群,14,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01202.htm?v=1.0,https://www.unews.com.tw/School/Department/83/3583?t=2
藥學系,中國醫藥大學藥學系(01203),58,10,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01203.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2179?t=2
護理學系,中國醫藥大學護理學系(01204),13,3,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01204.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2185?t=2
醫學檢驗生物技術學系,中國醫藥大學醫學檢驗生物技術學系(01205),13,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01205.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2186?t=2
營養學系,中國醫藥大學營養學系(01206),15,3,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01206.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2184?t=2
物理治療學系,中國醫藥大學物理治療學系(01207),13,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01207.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2182?t=2
生物科技學系,中國醫藥大學生物科技學系(01208),16,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01208.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2173?t=2
運動醫學系,中國醫藥大學運動醫學系(01209),6,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01209.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2183?t=2
中國藥學暨中藥資源學系,中國醫藥大學中國藥學暨中藥資源學系(01210),12,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01210.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2181?t=2
藥用化妝品學系,中國醫藥大學藥用化妝品學系(01211),16,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01211.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2180?t=2
生物醫學影像暨放射科學學系、生醫,中國醫藥大學生物醫學影像暨放射科學學系(01212),10,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01212.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2187?t=2
公共衛生學院大一不分系、公衛,中國醫藥大學公共衛生學院大一不分系(01213),41,5,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01213.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2190?t=2
生物醫學工程學系、生醫,中國醫藥大學生物醫學工程學系(01214),12,2,第三類學群,14,12,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01214.htm?v=1.0,https://www.unews.com.tw/School/Department/83/3760?t=2
牙醫學系,中國醫藥大學牙醫學系(01215),7,無,第八類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01215.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2188?t=2
醫學系,中國醫藥大學醫學系(01216),16,無,第八類學群,2,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01216.htm?v=1.0,https://www.unews.com.tw/School/Department/83/2174?t=2
