搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
大學應用外國語言學系,中山醫學大學應用外國語言學系(02601),10,1,第一類學群,3,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02601.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2031?t=2
大學醫學社會暨社會工作學系、社工,中山醫學大學醫學社會暨社會工作學系(02602),6,1,第一類學群,3,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02602.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2055?t=2
大學醫療產業科技管理學系,中山醫學大學醫療產業科技管理學系(02603),5,1,第一類學群,3,3,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02603.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2033?t=2
大學醫學資訊學系,中山醫學大學醫學資訊學系(02604),15,1,第二類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02604.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2053?t=2
大學物理治療學系,中山醫學大學物理治療學系(02605),19,2,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02605.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2040?t=2
大學職能治療學系、職治,中山醫學大學職能治療學系(02606),11,2,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02606.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2041?t=2
大學語言治療與聽力學系語言治療組,中山醫學大學語言治療與聽力學系語言治療組(02607),6,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02607.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2042?t=2
大學語言治療與聽力學系聽力組,中山醫學大學語言治療與聽力學系聽力組(02608),6,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02608.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2042?t=2
大學生物醫學科學學系、生醫,中山醫學大學生物醫學科學學系(02609),25,4,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02609.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2035?t=2
大學視光學系,中山醫學大學視光學系(02610),9,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02610.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2051?t=2
大學醫學影像暨放射科學系、醫影,中山醫學大學醫學影像暨放射科學系(02611),11,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02611.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2050?t=2
大學心理學系,中山醫學大學心理學系(02612),6,2,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02612.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2032?t=2
大學營養學系,中山醫學大學營養學系(02613),38,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02613.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2045?t=2
大學職業安全衛生學系,中山醫學大學職業安全衛生學系(02614),11,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02614.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2039?t=2
大學醫學應用化學系,中山醫學大學醫學應用化學系(02615),12,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02615.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2036?t=2
大學健康產業科技管理學系,中山醫學大學健康產業科技管理學系(02616),5,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02616.htm?v=1.0,https://www.unews.com.tw/School/Info/77
大學護理學系,中山醫學大學護理學系(02617),8,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02617.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2048?t=2
大學醫學檢驗暨生物技術學系、醫檢,中山醫學大學醫學檢驗暨生物技術學系(02618),19,1,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02618.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2049?t=2
大學公共衛生學系、公衛,中山醫學大學公共衛生學系(02619),22,4,第三類學群,15,15,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02619.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2038?t=2
大學醫學系,中山醫學大學醫學系(02620),17,無,第八類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02620.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2037?t=2
大學牙醫學系,中山醫學大學牙醫學系(02621),4,無,第八類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_02621.htm?v=1.0,https://www.unews.com.tw/School/Department/77/2054?t=2
