搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
工業與系統工程學系管理組,中原大學工業與系統工程學系管理組(00801),8,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00801.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1272?t=2
企業管理學系服務業管理組、企管,中原大學企業管理學系服務業管理組(00802),11,1,第一類學群,15,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00802.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1247?t=2
企業管理學系高科技業管理組、企管,中原大學企業管理學系高科技業管理組(00803),10,1,第一類學群,15,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00803.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1247?t=2
企業管理學系工商管理組、企管,中原大學企業管理學系工商管理組(00804),16,2,第一類學群,15,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00804.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1247?t=2
國際經營與貿易學系,中原大學國際經營與貿易學系(00805),16,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00805.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1251?t=2
會計學系、會計,中原大學會計學系(00806),25,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00806.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1246?t=2
資訊管理學系、資管,中原大學資訊管理學系(00807),16,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00807.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1261?t=2
財務金融學系、財金,中原大學財務金融學系(00808),23,2,第一類學群,15,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00808.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1252?t=2
財經法律學系財貿法組,中原大學財經法律學系財貿法組(00809),11,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00809.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1254?t=2
財經法律學系科技法組,中原大學財經法律學系科技法組(00810),11,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00810.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1254?t=2
室內設計學系,中原大學室內設計學系(00811),5,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00811.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1244?t=2
商業設計學系商業設計組乙類,中原大學商業設計學系商業設計組乙類(00812),3,1,第一類學群,15,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00812.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1241?t=2
特殊教育學系,中原大學特殊教育學系(00813),8,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00813.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1238?t=2
應用外國語文學系、外文,中原大學應用外國語文學系(00814),16,無,第一類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00814.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1240?t=2
應用華語文學系,中原大學應用華語文學系(00815),19,2,第一類學群,15,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00815.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1239?t=2
應用數學系、應數,中原大學應用數學系(00816),15,1,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00816.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1260?t=2
物理學系物理組,中原大學物理學系物理組(00817),9,1,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00817.htm?v=1.0,https://www.unews.com.tw/School/Department/52/3548?t=2
物理學系光電與材料科學組,中原大學物理學系光電與材料科學組(00818),11,1,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00818.htm?v=1.0,https://www.unews.com.tw/School/Department/52/3548?t=2
化學系化學組,中原大學化學系化學組(00819),14,2,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00819.htm?v=1.0,https://www.unews.com.tw/School/Department/52/3547?t=2
化學系材料化學組,中原大學化學系材料化學組(00820),15,2,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00820.htm?v=1.0,https://www.unews.com.tw/School/Department/52/3547?t=2
化學工程學系綠能製程組、化工,中原大學化學工程學系綠能製程組(00821),8,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00821.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1268?t=2
化學工程學系生化工程組、化工,中原大學化學工程學系生化工程組(00822),8,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00822.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1268?t=2
化學工程學系材料工程組、化工,中原大學化學工程學系材料工程組(00823),8,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00823.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1268?t=2
土木工程學系、土木,中原大學土木工程學系(00824),27,2,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00824.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1267?t=2
機械工程學系、機械,中原大學機械工程學系(00825),27,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00825.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1266?t=2
生物醫學工程學系、生醫,中原大學生物醫學工程學系(00826),20,1,第二類學群,21,11,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00826.htm?v=1.0,https://www.unews.com.tw/School/Department/52/1276?t=2
