搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
企業管理學系、企管,大葉大學企業管理學系(04201),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04201.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1571?t=2
會計資訊學系,大葉大學會計資訊學系(04202),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04202.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1568?t=2
財務金融學系、財金,大葉大學財務金融學系(04203),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04203.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1575?t=2
英語學系、英文,大葉大學英語學系(04204),2,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04204.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1553?t=2
應用日語學系、日文,大葉大學應用日語學系(04205),2,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04205.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1554?t=2
觀光旅遊學系,大葉大學觀光旅遊學系(04206),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04206.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1600?t=2
餐旅管理學系,大葉大學餐旅管理學系(04207),2,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04207.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1598?t=2
休閒事業管理學系,大葉大學休閒事業管理學系(04208),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04208.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1602?t=2
烘焙暨飲料調製學士學位學程,大葉大學烘焙暨飲料調製學士學位學程(04209),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04209.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1605?t=2
工業設計學系,大葉大學工業設計學系(04210),1,1,第一類學群,16,16,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_04210.htm?v=1.0,https://www.unews.com.tw/School/Department/60/1559?t=2
